iata,name,city,state,country,latitude,longitude,min,max,min_latitude,min_longitude,max_latitude,max_longitude
00v,Meadow Lake,colorado springs,co,usa,38.94574889,-104.5698933,2.22998,2.22998,38.93300629,-104.6080856,38.93300629,-104.6080856
01g,Perry-Warsaw,perry,ny,usa,42.74134667,-78.05208056,5.82936,5.82936,42.66061783,-78.08556366,42.66061783,-78.08556366
01j,Hilliard Airpark,hilliard,fl,usa,30.6880125,-81.90594389,7.67508,9.66969,30.62777138,-81.79598999,30.56218147,-81.83066559
02c,Capitol,brookfield,wi,usa,43.08751,-88.17786917,4.15885,4.15885,43.06056595,-88.10647583,43.06056595,-88.10647583
02g,Columbiana County,east liverpool,oh,usa,40.67331278,-80.64140639,3.40422,3.40422,40.67339706,-80.57646179,40.67339706,-80.57646179
04y,Hawley Municipal,hawley,mn,usa,46.88384889,-96.35089861,1.59949,1.59949,46.88079453,-96.31673431,46.88079453,-96.31673431
05c,Griffith-Merrillville,griffith,in,usa,41.51961917,-87.40109333,1.6875,1.6875,41.53450775,-87.42552948,41.53450775,-87.42552948
06n,Randall,middletown,ny,usa,41.43156583,-74.39191722,1.66316,1.66316,41.41092682,-74.40709686,41.41092682,-74.40709686
07f,Gladewater Municipal,gladewater,tx,usa,32.52883861,-94.97174556,1.77147,1.77147,32.53653336,-94.94271851,32.53653336,-94.94271851
07g,Fitch H Beach,charlotte,mi,usa,42.57450861,-84.81143139,1.43801,1.43801,42.56373596,-84.83557892,42.56373596,-84.83557892
08a,Wetumpka Municipal,wetumpka,al,usa,32.52943944,-86.32822139,2.55565,6.84775,32.54662323,-86.36701965,32.54374313,-86.21191406
09m,Charleston Municipal,charleston,ms,usa,33.99150222,-90.078145,7.14052,7.14052,33.92462158,-89.98316193,33.92462158,-89.98316193
0a8,Bibb County,centreville,al,usa,32.93679056,-87.08888306,3.51636,3.51636,32.89129257,-87.11600494,32.89129257,-87.11600494
0a9,Elizabethton Municipal,elizabethton,tn,usa,36.37094306,-82.17374111,2.59687,6.00753,36.34872055,-82.21068573,36.28427887,-82.17263031
0b4,Hartington Municipal,hartington,ne,usa,42.60355556,-97.25263889,10.6334,10.6334,42.73805237,-97.15088654,42.73805237,-97.15088654
0b5,Turners Falls,montague,ma,usa,42.59136361,-72.52275472,1.668,8.87256,42.58203125,-72.49258423,42.57220078,-72.69519043
0.00E+00,Moriarty,moriarty,nm,usa,34.98560639,-106.0094661,2.29613,2.29613,34.99005127,-106.0491867,34.99005127,-106.0491867
0.00E+00,Crownpoint,crownpoint,nm,usa,35.71765889,-108.2015961,4.07601,26.9605,35.67900085,-108.1472015,36.0530014,-107.955925
0f2,Bowie Municipal,bowie,tx,usa,33.60166667,-97.77556,4.97513,4.97513,33.55604553,-97.8423996,33.55604553,-97.8423996
0f4,Loup City Municipal,loup city,ne,usa,41.29028694,-98.99064278,11.5774,11.5774,41.42334366,-99.12620544,41.42334366,-99.12620544
0f7,Fountainhead Lodge Airpark,eufaula,ok,usa,35.38898833,-95.60165111,7.10177,7.10177,35.4701004,-95.52303314,35.4701004,-95.52303314
0g0,North Buffalo Suburban,lockport,ny,usa,43.10318389,-78.70334583,1.67035,1.67035,43.08699799,-78.7278595,43.08699799,-78.7278595
0g6,Williams County,bryan,oh,usa,41.46736111,-84.50655556,5.40445,5.40445,41.50366211,-84.41411591,41.50366211,-84.41411591
0g7,Finger Lakes Regional,seneca falls,ny,usa,42.88062278,-76.78162028,2.02633,2.02633,42.91062164,-76.79662323,42.91062164,-76.79662323
0h1,Trego Wakeeney,wakeeney,ks,usa,39.0044525,-99.89289917,1.58784,1.58784,39.02500916,-99.87956238,39.02500916,-99.87956238
