country	sightings
12866-6220	1
Afghanistan	8
Albania	2
Algeria	7
American Samoa	1
Andorra	1
Angola	8
Antarctica	1
Argentina	141
Armenia	3
Aruba	2
Australia	561
Austria	32
Azerbaijan	1
Bahrain	4
Bangladesh	9
Barbados	1
Belarus	1
Belgium	39
Belize	5
Bolivia	10
Bosnia and Herzegovina	23
Botswana	1
Brazil	300
British Virgin Islands	1
Brunei Darussalam	1
Bulgaria	37
Cambodia	5
Canada	3968
Caribbean Netherlands	1
Chile	49
China	38
Christmas Island	1
Colombia	118
Commonwealth of Puerto Rico	3
Commonwealth of The Bahamas	1
Costa Rica	22
Croatia	26
Cuba	12
Curacao	1
Cyprus	10
Czech Republic	14
Czechia	7
Denmark	26
Dominican Republic	20
Ecuador	15
Egypt	59
El Salvador	7
Estonia	10
Ethiopia	1
Fiji	2
Finland	26
France	189
French Polynesia	1
Gabon	1
Garran	1
Georgia	11
Germany	272
Ghana	1
Gibraltar	2
Greece	46
Greenland	2
Guadeloupe	2
Guam	11
Guatemala	16
Guernsey	2
Guyana	3
Haiti	5
Honduras	9
Hong Kong	6
Hungary	19
Iceland	11
India	390
Indonesia	17
Iran	80
Iraq	21
Ireland	102
Isle of Man	3
Israel	39
Italy	134
Jamaica	15
Japan	32
Jersey	1
Jordan	5
Kazakhstan	4
Kenya	9
Kingdom of Norway	2
Kingdom of Sweden	24
Kuwait	4
Kyrgyzstan	1
Laos	2
Latvia	6
Lebanon	5
Liberia	3
Libya	2
Lithuania	12
Luxembourg	3
Macedonia (FYROM)	12
Malawi	1
Malaysia	26
Maldives	2
Malta	12
Martinique	1
Mauritius	2
Mexico	341
Micronesia	1
Moldova	3
Monaco	1
Mongolia	1
Montenegro	6
Montserrat	1
Morocco	5
Myanmar	1
Myanmar (Burma)	1
Namibia	8
Nepal	2
Netherlands	39
New Caledonia	1
New Zealand	124
Nicaragua	9
Niger	1
Nigeria	8
North Korea	1
Norway	43
Oman	2
Pakistan	21
Panama	18
Paraguay	5
Peru	67
Philippines	72
Poland	44
Portugal	108
Puerto Rico	117
Qatar	7
Romania	30
Russia	34
Russian Federation	15
Saint Barthélemy	1
Saint Kitts and Nevis	1
Saint Lucia	1
Samoa	1
Saudi Arabia	7
Senegal	2
Serbia	26
Sierra Leone	1
Singapore	6
Sint Maarten	2
Slovakia	7
Slovenia	13
South Africa	79
South Georgia and the South Sandwich Islands	1
South Korea	21
Spain	218
Sri Lanka	10
Sudan	2
Suriname	1
Svalbard and Jan Mayen	1
Sweden	49
Switzerland	47
Taiwan	12
Tanzania	2
Thailand	23
The Bahamas	7
The Netherlands	45
Trinidad & Tobago	2
Trinidad and Tobago	3
Tunisia	8
Turkey	50
Turkmenistan	1
U.S. Virgin Islands	6
Uganda	1
Ukraine	18
United Arab Emirates	18
United Kingdom	2113
United States	64182
United States Virgin Islands	1
Uruguay	25
Vanuatu	1
Vatican City	2
Venezuela	48
Vietnam	13
Zambia	2
Zimbabwe	3
Åland Islands	1
