month	year	sightings
1	2005	15
1	2006	58
1	2007	133
1	2008	332
1	2009	379
1	2010	422
1	2011	369
1	2012	766
1	2014	698
1	2015	705
2	2005	55
2	2006	89
2	2007	107
2	2008	222
2	2009	340
2	2010	285
2	2011	395
2	2012	629
2	2013	203
2	2014	484
2	2015	590
3	2005	102
3	2006	76
3	2007	140
3	2008	227
3	2009	359
3	2010	490
3	2011	413
3	2012	376
3	2013	130
3	2014	682
3	2015	674
4	2005	62
4	2006	81
4	2007	133
4	2008	297
4	2009	265
4	2010	435
4	2011	307
4	2012	658
4	2013	359
4	2014	729
4	2015	691
5	2005	44
5	2006	85
5	2007	117
5	2008	189
5	2009	396
5	2010	468
5	2011	387
5	2012	769
5	2013	478
5	2014	731
5	2015	865
6	2005	92
6	2006	102
6	2007	195
6	2008	269
6	2009	337
6	2010	440
6	2011	411
6	2012	867
6	2013	615
6	2014	707
6	2015	1380
7	2005	103
7	2006	126
7	2007	189
7	2008	355
7	2009	539
7	2010	754
7	2011	445
7	2012	625
7	2013	765
7	2014	958
7	2015	1301
8	2005	90
8	2006	120
8	2007	180
8	2008	364
8	2009	346
8	2010	366
8	2011	998
8	2013	854
8	2014	849
8	2015	1105
9	2005	91
9	2006	87
9	2007	161
9	2008	335
9	2009	713
9	2010	340
9	2011	760
9	2013	692
9	2014	746
9	2015	950
10	2005	78
10	2006	126
10	2007	187
10	2008	447
10	2009	447
10	2010	576
10	2011	640
10	2013	683
10	2014	773
10	2015	941
11	2005	71
11	2006	138
11	2007	221
11	2008	399
11	2009	559
11	2010	498
11	2011	597
11	2013	471
11	2014	524
11	2015	749
12	2005	40
12	2006	115
12	2007	179
12	2008	294
12	2009	438
12	2010	343
12	2011	488
12	2013	482
12	2014	483
12	2015	594
