sepalLength	sepalWidth	species
1.65	42	CA
3.65	50.8	CA
0.32	66.9	CA
4	67.2	TX
1.65	45.8	TX
1.91	48.5	CA
3.49	46.7	WA
3.65	72.8	TX
6.93	47.2	CA
1.27	51.3	CA
1.9	74	TX
4.98	44.9	CA
2.17	51.6	CA
0.65	45.3	CA
2.71	67.4	TX
1.09	62	CA
0.57	75	CA
0.59	61.5	CA
1.59	55.7	WA
4.46	35.6	WA
0.32	64.1	CA
5.11	28.6	WA
0.05	62.2	CA
3.84	44.6	WA
3.79	38.1	WA
0.74	54.4	CA
2.29	47.8	WA
0.32	66.9	CA
0.93	67.4	TX
4.98	44.9	CA
4	67.2	TX
0.81	41.5	CA
2.1	56.8	CA
1.23	60	WA
0.17	72.9	CA
0.5	67.5	CA
3.55	42.5	TX
0.06	77.4	CA
0.71	63.7	CA
0.57	68.2	CA
0.7	57.3	CA
0.73	64.6	CA
0.45	58.8	CA
3.06	52.4	WA
0.84	54	CA
1.44	62.3	CA
3.13	47	WA
5.41	44	CA
0.67	66.2	CA
3.23	42.9	WA
1.5	75.8	TX
1.11	65.4	WA
0.74	52.5	CA
0.27	75	CA
7.11	41.1	CA
1.35	84.3	TX
2.48	55.6	WA
0.01	71.8	CA
0.4	74.2	CA
1.97	56.3	WA
10.04	39.6	WA
0.7	84.1	TX
1.59	55.7	WA
4.42	43.1	CA
0.74	54.4	CA
0.68	63.5	WA
3.02	74.1	TX
5.51	44.6	CA
0.96	48.7	TX
5.77	44	CA
0.52	60.8	WA
1.9	74	TX
0.25	67.8	CA
0.12	74.8	CA
3.25	53.3	TX
6.2	29.8	WA
1.15	57.2	WA
0.22	73.8	CA
0.82	53.3	CA
5.09	45.8	CA
0.32	66.9	CA
1.64	45.3	CA
2.35	46.8	CA
0.57	75	CA
1.25	51	TX
0.07	71.2	CA
0.06	77.4	CA
3.69	82.3	TX
2.26	52.4	CA
1.14	50.2	TX
4.39	42.7	WA
2.03	51.9	TX
3.31	58.9	TX
4.42	43.1	CA
1.09	62	CA
0.45	47.2	TX
4.08	73.9	TX
3.26	43.5	WA
2	49.7	WA
6.32	50.6	WA
0.12	70.5	CA
