symbol,date,sightings
AUS,Jan 2010,4
AUS,Feb 2010,3
AUS,Mar 2010,2
AUS,Apr 2010,5
AUS,May 2010,4
AUS,Jun 2010,3
AUS,Jul 2010,2
AUS,Aug 2010,2
AUS,Sep 2010,0
AUS,Oct 2010,4
AUS,Nov 2010,1
AUS,Dec 2010,1
AUS,Jan 2011,3
AUS,Feb 2011,3
AUS,Mar 2011,1
AUS,Apr 2011,2
AUS,May 2011,4
AUS,Jun 2011,0
AUS,Jul 2011,2
AUS,Aug 2011,2
AUS,Sep 2011,9
AUS,Oct 2011,0
AUS,Nov 2011,1
AUS,Dec 2011,1
AUS,Jan 2012,11
AUS,Feb 2012,8
AUS,Mar 2012,1
AUS,Apr 2012,4
AUS,May 2012,5
AUS,Jun 2012,6
AUS,Jul 2012,0
AUS,Aug 2012,0
AUS,Sep 2012,0
AUS,Oct 2012,0
AUS,Nov 2012,0
AUS,Dec 2012,0
AUS,Jan 2013,0
AUS,Feb 2013,4
AUS,Mar 2013,1
AUS,Apr 2013,4
AUS,May 2013,7
AUS,Jun 2013,6
AUS,Jul 2013,5
AUS,Aug 2013,2
AUS,Sep 2013,3
AUS,Oct 2013,7
AUS,Nov 2013,3
AUS,Dec 2013,4
AUS,Jan 2014,14
AUS,Feb 2014,3
AUS,Mar 2014,4
AUS,Apr 2014,6
AUS,May 2014,4
AUS,Jun 2014,2
AUS,Jul 2014,7
AUS,Aug 2014,9
AUS,Sep 2014,1
AUS,Oct 2014,4
AUS,Nov 2014,4
AUS,Dec 2014,2
AUS,Jan 2015,5
AUS,Feb 2015,4
AUS,Mar 2015,11
AUS,Apr 2015,5
AUS,May 2015,4
AUS,Jun 2015,6
AUS,Jul 2015,8
AUS,Aug 2015,14
AUS,Sep 2015,7
AUS,Oct 2015,13
AUS,Nov 2015,5
AUS,Dec 2015,3
AUS,Jan 2016,12
AUS,Feb 2016,6
AUS,Mar 2016,8
AUS,Apr 2016,6
AUS,May 2016,5
AUS,Jun 2016,6
AUS,Jul 2016,1
AUS,Aug 2016,7
AUS,Sep 2016,7
AUS,Oct 2016,11
AUS,Nov 2016,3
AUS,Dec 2016,6
AUS,Jan 2017,9
AUS,Feb 2017,2
AUS,Mar 2017,8
AUS,Apr 2017,6
AUS,May 2017,3
AUS,Jun 2017,7
AUS,Jul 2017,6
AUS,Aug 2017,7
AUS,Sep 2017,3
AUS,Oct 2017,5
AUS,Nov 2017,12
AUS,Dec 2017,10
AUS,Jan 2018,6
AUS,Feb 2018,9
AUS,Mar 2018,4
Canada,Jan 2010,22
Canada,Feb 2010,9
Canada,Mar 2010,15
