city,population
Antioch,102372
Big Spring,27282
McCall,2991
Lakeview,1007
Noxen,633
Marysville,60020
Shelby,3376
Fontana,196069
Evart,1903
Seattle,608660
Los Angeles,3792621
Seattle,608660
Tonasket,1032
Anchorage,291826
Concrete,705
Seattle,608660
Denmark,2123
Tacoma,198397
Mountain City,2531
Oklahoma City,579999
Dallas,1197816
Wilsonville,19509
Ocate,
Tacoma,198397
Pilot Rock,1502
Rock Island,788
Owosso,15194
Seattle,608660
North Bend,5731
Oldsmar,13591
Pomona,149058
Langley,1035
Gainesville,124354
Christiansburg,21041
Fort Lauderdale,165521
Saginaw,51508
Salinas,150441
Banning,29603
Seattle,608660
Concord,122067
San Diego,1307402
Aurora,325078
Fort Myers,62298
Walled Lake,6999
East Providence,47037
Saint Joseph,76780
Mansfield,3625
Bismarck,61272
River Falls,15000
Reno,225221
Amargosa Valley,
Arlington,17926
Rockford,152871
Huntington Park,58114
Seattle,608660
Hastings,22172
Derby,12902
Provo,112488
Gulf Breeze,5763
Snoqualmie,10670
Simi Valley,124237
Dana Point,33351
Sunrise,84439
Eugene,156185
Lynnwood,35836
San Jose,945942
Columbia,108500
Reno,225221
Memphis,646889
Fresno,494665
Arcade,2071
Lima,38771
Lower Lake,1294
Lakeport,4753
Cincinnati,296943
Bastrop,11365
Garden Grove,170883
Jamestown,15427
West Manchester,474
West Manchester,474
West Manchester,474
Santa Rosa,167815
Hayward,144186
Glendale,226721
Everglades,400
West Manchester,474
Westminster,106114
Amelia,4801
Eden,3516
Campbell,39349
El Paso,649121
Saint Cloud,65842
Stroudsburg,5567
Ely,4255
Alturas,2827
Lufkin,35067
Buena Park,80530
Las Vegas,583756
Buckhead Ridge,1450
Marion,1260
Brooklyn,981
Alta,383
Seguin,25175
Las Vegas,583756
East Greenwich,
Winter Springs,33282
Fort Collins,143986
Fort Collins,143986
Daytona Beach,61005
Billings,104170
Tucson,520116
Blairsville,3412
Pittsburgh,305704
Gallup,21678
Wasilla,7831
Macon,153691
Richmond,481
New Florence,689
Crystal Lake,40743
Prairie du Sac,3972
Ironwood,5387
Rohnert Park,40971
Seattle,608660
Fallon,8606
Charleston,51400
Grand Rapids,188040
Frederick,3940
Grand Rapids,188040
Kingman,28068
Little Rock,193524
San Diego,1307402
Virginia Beach,437994
New Orleans,343829
Huntington,2129
Oakton,34166
Chino Valley,10817
Phoenix,1445632
Prescott,39843
Phoenix,1445632
Prescott,39843
Blackfoot,11899
Scottsdale,217385
Prescott,39843
Mesa,439041
Whitefish,6357
Buckeye,50876
San Francisco,805235
Concord,
Lake Geneva,7651
Unadilla,1128
Stevens Point,26717
Manassas,37821
Yucaipa,51367
Ladson,13790
Kerman,13544
Nederland,1445
Hobe Sound,11521
Huron,7149
Owings Mills,30622
Williston,2768
Carlisle,18682
Greeneville,15062
Waterville,15722
Tonopah,60
Newfoundland,
Carson City,1093
Buckhannon,5639
Ann Arbor,113934
Los Angeles,3792621
Glendale,226721
Columbus,787033
Lebanon,14474
Port Wentworth,5359
Chandler,236123
Phoenix,1445632
George,501
Colorado Springs,416427
Tonopah,2478
Houma,33727
Monrovia,36590
Moab,5046
Phoenix,1445632
Golden,18867
Long Beach,33275
Bakersfield,347483
West Memphis,26245
Dallas,1197816
Bismarck,
Palm Desert,48445
Glendale,191719
Greentown,2415
Dundee,3717
Carmichaels,483
Juneau,31275
Worcester,181045
Coos Bay,15967
New Brighton,21456
Saint David,1699
Jamestown,31146
Phoenix,1445632
Reno,225221
Spokane,208916
Johnstown,20978
Albuquerque,545852
Shallotte,3675
Oceanside,167086
Lincoln City,7930
West Chester,18461
Columbia,108500
Stafford,17693
Turlock,68549
Citrus Heights,83301
Auburn,70180
Texarkana,29919
Houston,2099451
Virginia Beach,437994
Oceanside,167086
Houston,2099451
Neoga,1636
Fairhope,15326
Seattle,608660
Provo,112488
Coolidge,11825
Phoenix,1445632
Camarillo,65201
Cottonwood,11265
Cottonwood,226
East Providence,47037
San Jose,945942
Phoenix,1445632
Redding,89861
Spokane,208916
Mountain View,74066
Oklahoma City,579999
Sedona,10031
Portland,583776
Grantville,
Caldwell,46237
Phoenix,1445632
Olivet,1605
San Diego,1307402
Santa Monica,89736
Simi Valley,124237
Chatham,8962
Conway,58908
Stony Point,12147
Walden,6978
Winnsboro,4910
Laguna Park,1276
Pooler,19140
Canastota,4804
Houston,2099451
Albemarle,15903
White Plains,56853
Renton,90927
Monterey,27810
Bothell,33505
Seattle,608660
Worcester,181045
Hayward,144186
Newark,277140
Prescott,39843
Orlando,238300
Southside,8412
Saint Louis,319294
Eau Claire,65883
Palm Beach Gardens,48452
Vancouver,161791
Portland,583776
Doylestown,8380
Jacksonville,821784
Asheville,83393
Fort Collins,143986
Alamosa,8780
Buena Park,80530
Carefree,3363
Austin,790390
Seattle,608660
Phoenix,1445632
Jackson,173514
Riverside,303871
Westport,26391
McDermitt,172
Tooele,31605
Fresno,494665
Cuba,3356
Idaho Falls,56813
Fort Collins,143986
Greensboro,269666
Quincy,92271
Goose Creek,35938
Austin,790390
Salt Lake City,186440
Fontana,196069
Dunnellon,1733
Austin,790390
San Antonio,1327407
Morrow,6445
