idx,population
7229,102372
7806,27282
4,2991
3,1007
19,633
16,60020
5,3376
7,196069
14,1903
15,608660
13,3792621
9,608660
8,1032
22,291826
17,705
11,608660
0,2123
12,198397
10,2531
20,579999
23,1197816
21,19509
6,
2,198397
18,1502
1,788
67,15194
61,608660
44,5731
39,13591
35,149058
107,1035
53,124354
55,21041
37,165521
48,51508
73,150441
58,29603
84,608660
36,122067
64,1307402
34,325078
27,62298
97,6999
38,47037
31,76780
108,3625
95,61272
49,15000
106,225221
102,
62,17926
81,152871
111,58114
29,608660
89,22172
59,12902
74,112488
96,5763
91,10670
83,124237
75,33351
26,84439
71,156185
54,35836
69,945942
104,108500
52,225221
65,646889
45,494665
105,2071
46,38771
109,1294
80,4753
76,296943
32,11365
43,170883
78,15427
208,474
56,474
94,474
87,167815
88,144186
25,226721
86,400
42,474
63,106114
28,4801
30,3516
101,39349
92,649121
209,65842
98,5567
66,4255
72,2827
50,35067
110,80530
33,583756
41,1450
103,1260
77,981
90,383
100,25175
68,583756
51,
57,33282
40,143986
70,143986
24,61005
60,104170
85,520116
82,3412
79,305704
93,21678
47,7831
112,153691
99,481
457,689
475,40743
477,3972
524,5387
273,40971
479,608660
357,8606
360,51400
116,188040
482,3940
400,188040
219,28068
530,193524
206,1307402
120,437994
409,343829
478,2129
537,34166
350,10817
427,1445632
375,39843
521,1445632
546,39843
510,11899
136,217385
161,39843
492,439041
220,6357
505,50876
258,805235
392,
259,7651
472,1128
383,26717
222,37821
362,51367
562,13790
491,13544
203,1445
191,11521
461,7149
291,30622
465,2768
165,18682
371,15062
425,15722
563,60
488,
410,1093
283,5639
199,113934
585,3792621
570,226721
183,787033
147,14474
404,5359
412,236123
127,1445632
575,501
586,416427
123,2478
347,33727
339,36590
310,5046
271,1445632
511,18867
564,33275
188,347483
130,26245
421,1197816
372,
399,48445
193,191719
162,2415
380,3717
226,483
248,31275
214,181045
121,15967
261,21456
353,1699
171,31146
432,1445632
316,225221
159,208916
142,20978
434,545852
163,3675
351,167086
504,7930
135,18461
436,108500
181,17693
184,68549
227,83301
584,70180
355,29919
559,2099451
476,437994
153,167086
514,2099451
309,1636
298,15326
265,608660
115,112488
568,11825
459,1445632
312,65201
496,11265
496,226
376,47037
463,945942
326,1445632
333,89861
402,208916
236,74066
192,579999
487,10031
446,583776
280,
327,46237
443,1445632
342,1605
470,1307402
484,89736
403,124237
329,8962
289,58908
148,12147
340,6978
201,4910
212,1276
415,19140
531,4804
518,2099451
493,15903
277,56853
556,90927
419,27810
344,33505
288,608660
173,181045
517,144186
363,277140
367,39843
131,238300
489,8412
416,319294
334,65883
182,48452
217,161791
490,583776
274,8380
256,821784
303,83393
263,143986
281,8780
330,80530
439,3363
449,790390
317,608660
235,1445632
129,173514
567,303871
536,26391
520,172
413,31605
515,494665
444,3356
481,56813
381,143986
565,269666
433,92271
458,35938
533,790390
580,186440
158,196069
494,1733
141,790390
500,1327407
278,6445
137,37337
406,25024
189,22489
497,10912
268,217385
553,9242
132,1400
231,
270,126683
180,408
292,408958
175,2033
582,89861
197,2097
407,6960
352,32187
578,5015
405,22723
551,8322
338,91067
345,553
128,805235
495,1445632
471,4011
145,25579
139,319294
464,25703
460,4011
454,4245
144,52158
178,65794
377,319294
245,319294
257,65794
542,54
543,20808
300,1345
583,65794
440,
133,52575
279,15858
576,319294
167,10540
356,29849
374,87779
557,47484
114,319294
361,29849
437,2254
126,6301
424,3482
323,65794
429,4138
246,9115
535,44478
169,52158
522,
225,44478
519,17078
229,9707
205,27865
172,583756
468,17833
146,244769
218,62487
198,1445632
336,161719
526,125872
337,521
370,6882
272,6441
196,17782
388,17736
113,17736
358,74262
455,4354
442,
124,1445632
276,2318
503,74262
379,8445
117,45099
430,21552
216,319294
552,17509
359,154637
368,24388
573,3580
295,5731
224,1040
269,395
512,15326
313,33505
541,583756
260,17103
540,5629
539,1643
354,137436
155,217385
558,1445632
555,74907
315,
349,17926
140,7970
579,1456
293,17926
286,202
393,31378
431,7637
247,5763
149,
448,37060
366,38394
587,103483
395,464
211,3382
467,
365,66102
348,225221
513,48035
267,382368
240,40524
466,50876
385,18894
301,27208
156,10120
554,167674
525,188040
166,319294
239,150441
499,1526006
389,97618
186,
143,35836
418,80885
548,26213
134,217385
238,763
560,485
547,9611
486,43482
253,9611
255,97422
571,2242
320,1253
302,2033
569,
572,
294,22068
561,24718
502,800
194,608660
174,13481
341,31364
250,65201
221,713777
154,82893
445,821784
577,13821
462,34928
237,1307402
469,601723
306,192
423,34928
299,31535
223,9326
282,
453,21041
414,195111
232,
346,60477
428,49528
384,242803
195,27348
390,104170
373,117429
297,167815
234,3074
450,
426,382578
396,2099451
252,466488
369,1517
164,24531
422,6105
508,324528
447,1462
382,261310
394,5111
285,104057
534,4055
262,91714
284,646889
125,584
438,608660
332,3033
296,649121
483,225221
179,1197816
190,1307402
305,
532,6105
325,9989
456,15276
230,319294
516,608660
529,37729
506,608660
308,2045
545,10670
204,9566
213,99919
527,39709
538,394
304,520116
314,90927
328,9200
501,80885
331,32187
452,390724
266,20254
207,66748
322,225221
185,36648
160,46478
177,46478
544,202
254,9098
435,1197816
474,583776
574,48707
241,1032
507,18620
251,167
509,105321
151,2695598
242,90927
210,153888
200,8388
549,5670
138,21165
420,39816
397,545852
398,104553
243,30343
152,30343
408,159498
122,1645
451,18884
321,57439
233,65870
523,67263
202,28549
343,47255
264,2605
386,23106
228,66859
118,82672
550,285068
401,466488
473,
170,
307,8191
417,56767
335,7651
588,1555
480,2806
485,66702
215,51969
319,545852
378,27063
176,73812
244,
187,790390
287,92411
311,225221
324,225221
150,67843
249,608660
275,945942
364,1997
290,229573
590,325078
168,38822
318,34399
157,21552
441,3707
589,48914
119,86187
387,1875
391,10127
566,
528,42417
581,59466
411,
498,115903
719,768
769,118032
694,37821
752,305704
1030,47255
863,601222
624,399457
996,1555
953,376
932,698
793,6713
884,90927
826,13975
834,37729
907,181
901,
821,3607
899,420003
674,45877
960,22377
653,408
704,34533
755,24649
820,520116
594,23452
911,325078
1007,3792621
737,67263
825,214
959,7092
823,154305
710,
795,80980
720,399457
1013,10938
898,4562
950,9451
818,8323
675,583756
967,710
785,209924
833,2531
1002,1395
649,1197816
723,56364
984,154305
640,54
781,147433
673,10031
654,5509
774,8826
764,46292
637,416427
1024,29413
921,790390
698,583756
923,2126
991,881
725,23116
688,11912
630,14674
847,34910
856,462257
684,197899
815,1286
662,18174
1014,62979
969,23491
803,
634,181045
733,382578
676,80893
798,1488
807,10400
796,953
983,14038
813,340
945,790390
920,127
954,5581
860,19718
734,167086
700,33051
743,382368
593,67639
746,86265
641,233209
609,5276
784,70180
689,6438
905,99940
1010,27854
912,65969
918,22565
1031,22347
949,19927
686,3167
858,105321
601,7874
876,11704
979,234
992,303871
705,2759
1033,3124
1005,18383
620,787033
816,601222
862,51904
610,33039
716,16918
828,17575
1021,92411
598,798
939,66982
691,2099451
1035,820445
660,236123
775,20525
1023,54462
646,42694
747,198397
665,9318
697,420003
740,34691
814,3150
1000,40888
619,793
977,99919
739,2605
742,52909
802,
627,43914
830,86784
881,54392
855,62298
1011,16641
851,208916
701,466488
857,51917
822,335709
1020,1834
670,99919
853,15220
850,90173
896,242803
632,29660
824,10344
942,14863
878,5310
864,238300
804,2160
1009,39407
1032,72125
811,1918
900,416427
913,51917
974,88328
731,84
829,143911
1012,1445632
626,984
866,335709
963,7401
779,10938
926,65870
805,21181
650,51904
812,93847
750,391906
718,238300
735,
782,1516
839,1728
972,416427
715,477
595,
869,17227
2505,118296
651,23431
788,2223
946,4238
759,11724
751,1760
989,145786
933,181045
877,129272
978,136286
995,2552
667,
809,198397
997,5854
658,29036
817,945942
681,30787
895,70180
741,5237
1018,19124
1004,807
846,33051
638,24541
986,8380
842,12731
1027,2223
1019,3560
871,41590
886,35183
615,161719
625,59682
726,608660
685,6123
937,106595
645,24916
791,594833
999,35183
875,
951,19496
993,
695,80893
836,579999
766,1760
762,207627
1006,50158
941,74066
749,520116
639,928
801,420
879,1327407
922,10120
927,33039
931,4138
729,420
767,91067
885,111147
947,67752
845,583776
677,65883
777,210565
852,13227
657,790390
929,22565
935,73917
606,1489
934,12560
806,167815
679,3398
724,382368
703,49963
647,144186
903,597337
835,3931
768,31492
617,149
910,416427
622,109960
773,99478
970,416427
943,2998
672,396815
1008,48231
1022,65870
906,23893
916,95072
616,335709
810,1045
738,32882
797,15687
713,5800
961,12048
790,76068
914,790390
908,31568
664,12048
792,43888
722,15759
683,29413
757,13901
671,24286
690,580
837,7670
859,1126
957,111772
614,731424
754,55889
709,64206
1025,8780
883,59946
794,220
971,99223
980,416427
799,44692
1003,1307402
981,76036
888,11265
888,226
880,3079
644,43055
721,70180
1028,1642
843,86209
732,646889
714,62304
1016,583776
748,18238
1029,59466
854,190
612,91067
952,2099451
661,1642
776,9834
605,14268
897,99845
608,1742
831,67752
840,22030
728,53007
727,66790
994,37691
629,287208
985,124354
827,608660
591,89306
604,1062
682,583776
1026,4634
890,2326
628,
780,3958
652,30598
663,11265
663,226
597,416427
621,67096
968,6885
687,2674
592,6357
680,186440
1034,67956
633,470
976,7107
692,3792621
643,2099451
832,1093
998,2127
965,33039
917,5646
808,23352
730,20007
613,14001
636,618
800,820445
745,233209
753,42417
973,520116
763,11097
659,67947
868,208916
599,27581
736,4209
936,91992
770,1445632
783,
990,6231
1001,1445632
596,149043
874,2099451
706,24770
635,29589
975,14001
904,600158
938,2695598
678,1197816
892,600158
771,97032
956,1445632
2593,65883
2518,84136
2553,161791
2466,7444
2496,47484
2474,1445632
2558,1714
2623,44552
2515,15220
758,1463
618,47484
940,1545
873,225221
611,3280
966,2099451
607,48982
603,154637
915,48787
778,459787
669,
642,10433
787,26213
1015,76201
623,208916
819,124354
930,291826
711,7930
928,735
867,6606
882,350
1647,117429
1327,66588
1120,305215
1144,7389
1443,434
1358,9318
1317,961
1606,66135
1121,37476
1419,41114
1587,16116
1351,204214
1308,3311
1596,991
1186,17218
1373,991
1140,225221
1293,47299
1061,8881
1238,13388
1211,65870
1287,
1539,1307402
1142,466488
1174,3029
1537,
