,Date,Location,Shape,Duration,Population,Count
29363,1790-06-30," Carlisle, NY", fireball,less than 1 minute,,1
2896,1860-08-02," Cherokee, NC", fireball,less than a minute?,2138.0,1
26973,1880-12-12," Bellingham, WA", fireball,Unknown,80885.0,1
24184,1899-06-30," Carrollton, MO", sphere,one hour,3784.0,1
13064,1969-01-01," Greensburg, PA", unknown,unknown,14892.0,2
1868,1969-01-04," Naples (just north of), FL", oval,???,19537.0,1
16185,1969-01-15," Butte, MT", rectangle,unknown,,3
16324,1969-01-19," Butte, MT", other,unknown,,2
6459,1969-01-20," Lake Wales, FL", disk,5 minutes or so,14225.0,1
15571,1969-02-15," Monroe, IN", sphere,15-20 seconds,842.0,1
21490,1969-03-01," Perth Amboy, NJ", light,2 minutes,50814.0,2
40620,1969-03-15," Oroville, WA", cross,2min,1686.0,1
37158,1969-04-01," Loganville, GA", cigar,15  sec,10458.0,1
11747,1969-04-21," Little Rock, AR", cylinder,12 minutes,193524.0,1
24288,1969-05-01," Estill, SC", cigar,45 minutes,2040.0,5
31422,1969-05-15," St. Louis, MO", cigar,2min,319294.0,2
33733,1969-06-01," Barrington, IL", sphere,2 hours,10327.0,8
18153,1969-06-04," Chance, MD", disk,5 MIN,353.0,1
16146,1969-06-05," Windsor, SC", disk,30mint,121.0,1
32122,1969-06-10," North Wildwood, NJ", triangle,3 minutes,4041.0,3
35261,1969-06-15," Kent, WA", other,?,92411.0,5
22787,1969-06-21," Ronkonkoma, NY", unknown,1 hour,19082.0,1
8312,1969-06-29," Fort Lauderdale, FL", other,2-3 minutes,165521.0,1
39843,1969-06-30," Detroit, MI", light,30 seconds,713777.0,4
27173,1969-07-01," Payson, AZ", disk,&lt; 5 min.,15301.0,5
17997,1969-07-04," Jacksonville Beach, FL", other,3 Minutes,21362.0,2
14745,1969-07-05," Valdez, AK", disk,17 minutes,3976.0,1
33272,1969-07-07," Miami, FL", light,hour,399457.0,3
24220,1969-07-10," Chariton, IA", circle,5 min.,4321.0,2
32466,1969-07-15," Geneseo (outside of), IL", unknown,10-20 minutes,6586.0,8
16183,1969-07-25," Hawley, PA", circle,don&apos;t know,1211.0,1
25072,1969-07-27," Rocky Mount, NC", sphere,15 MINUTES,57477.0,1
29078,1969-07-31," Summerville, SC", light,an hour,43392.0,1
31798,1969-08-01," Fort Lauderdale, FL", light,3--5 minutes,165521.0,3
12854,1969-08-05," North Haven, CT", disk,20 mins,24093.0,1
32872,1969-08-10," Barstow, CA", light,8- 10 seconds,22639.0,1
35877,1969-08-13," Port Chester, NY", other,1-2 seconds,28967.0,1
40391,1969-08-15," Biola, CA", cigar,3 min,1623.0,8
20387,1969-08-27," Enfield, ME", oval,10-15min,,1
15829,1969-09-01," Walpole, MA", oval,5 minutes,5918.0,1
19587,1969-09-09," Austin, TX", sphere,12-15 Minutes,790390.0,1
21424,1969-09-15," Merced, CA", unknown,10-15 minutes,78958.0,1
5017,1969-09-20," Fairbanks, AK", cigar,30 seconds,31535.0,1
3184,1969-10-01," San Francisco, CA", oval,5-10 min,805235.0,1
14350,1969-10-13," Memphis, TN", formation,1 hour,646889.0,2
32087,1969-10-15," Portland, OR", cigar,3/1/02,583776.0,5
24076,1969-10-25," Erie, PA", circle,20 minutes,101786.0,1
36940,1969-10-30," Fulton, NY", cigar,10 minutes,11896.0,2
16144,1969-10-31," Fulton, NY", circle,20minutes,11896.0,1
42155,1969-11-01," Fairbanks, AK", formation,4 minutes,31535.0,2
23329,1969-11-05," Buford, GA", disk,20 sec,12225.0,1
38942,1969-11-13," San Jose, CA", light,7 seconds,945942.0,1
9399,1969-11-22," Kenai, AK", light,5 minutes,7100.0,1
26078,1969-12-15," Richmond/Berea, KY", circle,30 seconds,31364.0,1
30429,1969-12-23," Middletown, CT", fireball,2 min.,47648.0,2
41784,1970-01-01," Joplin, MO", unknown,30 min,50150.0,2
26564,1970-01-05," Candia, NH", light,1 minute,,1
2133,1970-01-15," Hemet, CA", cylinder,1 hour,78657.0,1
2308,1970-01-16," Lake Wales, FL", oval,15 mins.,14225.0,1
4408,1970-01-20," Danville, NH", egg,20 min,,1
16960,1970-01-24," Denver/Golden (between), CO", cigar,twenty minutes,600158.0,1
7683,1970-02-10," Los Angeles, CA", disk,app. 10 min,3792621.0,1
6712,1970-02-15," Lafayette, CA", disk,1 hour,23893.0,1
15769,1970-02-20," Columbus, GA", other,1minute,189885.0,1
32050,1970-03-10," St. Petersburg, FL", disk,less than hour,244769.0,1
16765,1970-03-20," Fort Worth, TX", disk,10 minutes,741206.0,1
15793,1970-03-30," Slocomb, AL", circle,2 minutes,1980.0,1
19314,1970-04-15," East Aurora, NY", egg,5min,6236.0,1
16496,1970-04-20," Evansville, IN", disk,10 minutes,117429.0,1
7339,1970-05-01," Houston, TX", disk,5-10 Minutes,2099451.0,2
10156,1970-05-15," Kansas City, MO", light,ten seconds,459787.0,1
13850,1970-05-16," Vero Beach, FL", oval,2 min,15220.0,1
9053,1970-05-18," Tampa, FL", oval,3 seconds,335709.0,1
8268,1970-05-20," Reading, PA", triangle,10 minutes,88082.0,1
27894,1970-06-01," Russia, OH", unknown,5 minutes,640.0,6
2199,1970-06-05," Cleveland (Lakewood), OH", disk,15min,396815.0,1
16003,1970-06-06," Downers Grove, IL", disk,5-10 min,47833.0,1
29187,1970-06-09," Eureka, CA", oval,1 minute,27191.0,1
20307,1970-06-10," West Ocean City, MD", light,less than one minute,4375.0,2
12772,1970-06-15," Yorktown Heights, NY", light,30+,1781.0,3
36270,1970-06-20," Cheyenne, WY", circle,45 minutes,59466.0,1
