name,mass,year,reclat,reclong
Forest City,152000,1890,43.25,-93.66667
Salem,61.4,1981,44.97917,-122.96944
Monahans (1998),2587,1998,31.60833,-102.85833
Park Forest,18000,2003,41.48472,-87.67917
Harrison County,680,1859,38.25,-86.16667
Charlotte,4300,1835,36.16667,-87.33333
Benld,1770.5,1938,39.08333,-89.15
Cabin Creek,48500,1886,35.5,-93.5
Independence,880,1917,39.08333,-94.4
Fayetteville,2360,1934,36.05,-94.16667
Moore County,1880,1913,35.41667,-79.38333
Lost City,17000,1970,36.00833,-95.15
Allegan,32000,1899,42.53333,-85.88333
Sioux County,4100,1933,42.58333,-103.66667
Ottawa,840,1896,38.6,-95.21667
Colby (Wisconsin),104000,1917,44.9,-90.28333
Danville,2000,1868,34.4,-87.06667
Peekskill,12570,1992,41.28333,-73.91667
St-Robert,25400,1994,45.96861,-72.97806
Little Piney,491,1839,37.91667,-92.08333
Andover,3200,1898,44.61667,-70.75
Pitts,3760,1921,31.95,-83.51667
Drake Creek,5000,1827,36.4,-86.5
Holbrook,220000,1912,34.9,-110.18333
Nuevo Mercurio,50000,1978,24.3,-102.13333
Dresden (Ontario),47700,1939,42.52,-82.26
Farmville,56000,1934,35.55,-77.53333
Archie,5070,1932,38.5,-94.3
Cherokee Springs,8400,1933,35.03333,-81.88333
San Juan Capistrano,56,1973,33.48472,-117.6625
