year,Changing,Cigar,Circle,Disk,Fireball,Formation,Light,Oval,Sphere,Triangle
1990,3,7,16,27,10,6,43,18,15,33
1991,3,6,19,33,2,6,39,9,11,40
1992,5,10,21,24,10,9,33,19,22,31
1993,2,13,26,25,8,11,45,15,24,58
1994,10,10,30,46,16,5,61,22,29,72
1995,15,14,40,47,32,15,104,24,29,79
1996,8,7,38,60,24,15,130,28,35,109
1997,16,35,72,96,49,73,291,50,80,191
1998,51,50,151,132,245,60,368,79,153,207
1999,82,94,243,197,316,94,581,106,188,297
2000,79,82,267,208,238,84,605,132,152,331
2001,93,102,274,236,209,125,733,170,177,367
2002,111,83,310,259,194,102,722,153,197,364
2003,115,120,368,293,211,130,929,226,246,405
2004,132,114,367,325,216,159,1044,211,285,487
2005,139,122,387,290,232,133,960,187,237,461
2006,128,115,387,271,228,117,819,203,245,395
2007,102,151,457,280,231,144,994,239,270,462
2008,151,149,468,294,277,165,1096,276,332,506
2009,120,111,497,216,265,133,1146,225,315,417
2010,98,48,298,145,249,67,652,118,189,218
