sight,place,lat,log
9-Oct-95,"Iowa City, IA",41.6611277,-91.5301683
10-Oct-95,"Milwaukee, WI",43.0389025,-87.9064736
1-Jan-95,"Shelton, WA",47.2150945,-123.1007066
10-May-95,"Columbia, MO",38.9517053,-92.3340724
11-Jun-95,"Seattle, WA",47.6062095,-122.3320708
25-Oct-95,"Brunswick County, NC",34.0718195,-78.1914215
20-Apr-95,"Fargo, ND",46.8771863,-96.7898034
11-Sep-95,"Las Vegas, NV",36.1699412,-115.1398296
15-Jan-95,"Morton, WA",46.5584421,-122.2751046
15-Sep-95,"Redmond, WA",47.6739881,-122.121512
1-Aug-94,"Renton, WA",47.4828776,-122.2170661
22-Jul-95,"Springfield, IL",39.7817213,-89.6501481
11-Jun-95,"Sharon, MA",42.1236499,-71.1786237
