name,count
NUFORC,14
lights,11
object,8
approximate,6
report,6
flying,6
moving,6
grandfather,6
indicates,5
sighting,5
shaped,5
incident,4
comet,4
story,4
large,4
source,4
moved,4
seeing,4
heard,4
someone,4
Witness,4
years,4
great,3
swinging,3
country,3
clearing,3
Meeting,3
cigar,3
remember,3
brother,3
requested,3
place,3
appeared,3
airplane,3
photo,3
light,3
family,3
seemed,3
parents,3
bright,3
color,3
objects,3
hovering,2
center,2
ahead,2
watch,2
south,2
clearly,2
diary,2
Alberta,2
Inquirer,2
north,2
driving,2
noise,2
never,2
ADDENDUM,2
montana,2
house,2
first,2
miles,2
event,2
Canadian,2
cause,2
brothers,2
noticed,2
metallic,2
several,2
observatory,2
decided,2
entry,2
people,2
diagram,2
across,2
research,2
white,2
older,2
occurred,2
father,2
Possible,2
occasions,2
search,2
called,2
speed,2
beach,2
somewhere,2
lantern,2
traveling,2
piece,2
Island,2
taken,2
witness,2
siting,2
members,2
night,2
balloon,2
submit,2
writing,2
something,2
sound,2
looked,2
experience,2
another,2
relating,2
sightings,2
craft,2
plane,2
times,2
grandmother,2
lived,2
sincere,2
forth,2
woods,2
change,2
walking,2
throwing,1
plate,1
daylight,1
early,1
happen,1
anytime,1
central,1
aluminum,1
billings,1
Saskatchewan,1
flights,1
successful,1
rm,1
lately,1
Reports,1
given,1
neighbor,1
rember,1
QUOTE,1
dirgible,1
Sitings,1
party,1
mail,1
North,1
valley,1
Source,1
watching,1
proceeded,1
somthing,1
realized,1
information,1
three,1
couldnt,1
fewred,1
Please,1
professional,1
Metallic,1
followed,1
She,1
proove,1
periodic,1
still,1
facility,1
publicized,1
posting,1
humming,1
observed,1
hight,1
lightsI,1
When,1
MissouriMy,1
reflection,1
walked,1
buddys,1
tracks,1
reports,1
illusion,1
AUTEC,1
East,1
dates,1
close,1
might,1
campsite,1
Adair,1
investigate,1
order,1
cover,1
hazy,1
whatever,1
dating,1
My,1
zig,1
continue,1
places,1
southeast,1
Probable,1
pattern,1
formation,1
grass,1
integrity,1
heading,1
screaming,1
entered,1
zaging,1
com,1
nothing,1
clear,1
parentrs,1
beetween,1
html,1
ca,1
April,1
minded,1
oddities,1
normal,1
understand,1
roundup,1
provides,1
adopting,1
spring,1
brisk,1
written,1
county,1
guess,1
oldest,1
refers,1
anykind,1
slowly,1
discovered,1
stops,1
address,1
comment,1
pieces,1
formal,1
geocities,1
havent,1
Bahamas,1
telescope,1
falcon,1
plase,1
small,1
individual,1
Grandpa,1
exactly,1
reached,1
destroyed,1
image,1
Working,1
World,1
ground,1
circle,1
company,1
changed,1
sence,1
methods,1
contest,1
believe,1
fighting,1
now,1
enemy,1
Strange,1
e,1
knowledge,1
behavior,1
horizontally,1
everyone,1
Testing,1
observation,1
TRUE,1
This,1
grandchildren,1
related,1
fairly,1
READER,1
artilliry,1
together,1
Bruce,1
Mussell,1
tight,1
Thank,1
wider,1
fancy,1
existence,1
sounds,1
finding,1
whatsoever,1
establish,1
candidates,1
relate,1
crafts,1
green,1
straight,1
thank,1
ARTICLE,1
perfectly,1
shrinks,1
actually,1
death,1
lasted,1
vapor,1
requesting,1
around,1
shocking,1
described,1
impression,1
crash,1
picked,1
marks,1
Shortly,1
However,1
serious,1
Underwater,1
metior,1
panents,1
front,1
broad,1
apparently,1
Camrose,1
Could,1
thought,1
agree,1
newspaper,1
century,1
Photo,1
follow,1
Cigar,1
Great,1
interview,1
interested,1
events,1
morse,1
perhaps,1
carrying,1
flawed,1
impresses,1
truth,1
looks,1
probably,1
scheffkg,1
spotter,1
Exposure,1
I,1
visual,1
Historical,1
attempt,1
doubt,1
sober,1
telephone,1
everyday,1
sometime,1
submitted,1
disc,1
me,1
aeroplane,1
trees,1
sinle,1
whooshing,1
defective,1
otherwise,1
zeppelin,1
emitting,1
cloud,1
showed,1
County,1
modern,1
range,1
Province,1
although,1
engines,1
zag,1
complete,1
silent,1
received,1
About,1
photocopy,1
Andros,1
flight,1
flash,1
National,1
spoke,1
website,1
bottles,1
memory,1
instance,1
visiting,1
saucer,1
became,1
stopped,1
woman,1
apart,1
enter,1
widely,1
really,1
child,1
December,1
disappearing,1
Evaluation,1
literate,1
Raytheon,1
bridge,1
crossing,1
looking,1
split,1
circular,1
planes,1
listened,1
Northern,1
vanished,1
downward,1
shock,1
Shell,1
noted,1
Anyway,1
practical,1
teenager,1
talking,1
wings,1
coastguard,1
hunting,1
rapidly,1
highway,1
instant,1
homsteaded,1
hours,1
shape,1
Atlantic,1
resevore,1
believed,1
frome,1
vaporit,1
mother,1
spotted,1
estimates,1
purchased,1
telling,1
young,1
correspondence,1
determine,1
gathering,1
vanishes,1
