name,count
remain,4907
elects,4560
toward,4321
provides,3685
indicates,2898
seemed,2348
decided,2257
totally,2129
approximate,1787
entire,1747
sitting,1684
ldquo,1597
rather,1507
caught,1419
extremely,1264
friend,1251
walked,1232
approximately,1143
realized,1031
pulled,1006
whether,1001
exact,991
traveling,977
going,955
showed,909
believe,882
whole,870
began,861
across,842
contact,841
hellip,832
stayed,825
proceeded,798
grabbed,782
several,777
little,770
coming,734
surrounding,725
couldnt,724
became,723
lasted,717
reached,715
absolutely,709
eventually,699
drove,678
first,678
along,662
pretty,641
always,635
caused,631
seemingly,615
small,606
might,594
spoke,583
somewhat,582
roughly,581
figured,571
relative,562
submitted,561
certainly,560
digital,553
compared,528
hoping,515
never,513
continued,509
returning,506
wanted,502
jumped,502
indicate,497
gratitude,493
ndash,490
Source,485
relatively,478
become,477
rolled,470
amount,465
express,460
thought,459
stared,458
anyone,456
general,449
larger,447
almost,446
nearly,446
information,440
assumed,438
rapid,434
ruled,432
convinced,432
seems,427
various,425
around,424
freaked,415
actual,414
numerous,413
moved,413
friends,409
accross,406
initial,399
brought,396
behind,394
suspect,391
wondered,388
begin,378
faces,376
talked,375
using,375
expect,370
incredibly,368
sudden,362
slowly,361
blocks,360
shooting,349
enjoying,347
brighter,342
completely,337
pointing,336
resembled,334
every,333
maintained,331
gotten,331
contacted,330
probably,327
parallel,325
kinda,325
knowing,323
yelled,323
glanced,323
capture,317
realize,316
reflect,315
saying,314
alleged,314
streaked,312
traveled,311
additional,311
guess,310
seperate,303
asking,301
sounded,301
waiting,299
Southern,294
consider,292
possibility,292
listening,290
advertising,285
currently,281
girlfriend,281
familiar,281
fairly,280
regarding,277
shown,276
faint,276
boyfriend,275
doubt,274
eacute,274
couple,271
generally,271
keeping,270
passed,270
emitting,269
former,268
holding,266
heading,266
peculiar,265
originally,265
parents,263
exceptionally,263
making,262
speeding,260
staying,258
sharing,256
aware,256
normal,255
separated,254
parking,254
positioned,253
suggested,252
surrounded,250
conversation,250
attempted,249
without,247
government,246
types,246
obscured,246
blocked,245
looks,244
describing,243
bathroom,243
noticing,241
NOTICED,240
Website,238
greater,238
tilted,238
wrote,238
assume,236
LOOKED,236
brief,236
bunch,233
fiance,233
reach,233
direct,232
scattered,232
pulling,231
simply,229
submitting,229
whatever,228
commented,228
heart,227
particularly,226
continuing,226
joined,225
complex,224
getting,223
sunny,222
opposite,222
diagonal,221
untill,221
scanned,219
looked,219
recent,218
definite,218
presume,217
northbound,217
accurate,213
actually,212
stood,212
reading,211
repeated,210
NUFORC,209
calling,207
provide,207
following,207
television,206
considered,205
Hotline,204
stoped,204
original,203
besides,203
conventional,203
observe,202
broke,202
specific,201
swear,201
belive,201
COULD,201
happend,198
visit,197
managed,196
expecting,196
considering,196
logical,196
great,196
steady,194
fellow,194
immediate,193
putting,191
flying,190
parked,190
giving,190
losing,189
agree,189
gaining,189
MOVED,189
returned,188
halfway,187
spent,186
considerable,185
drink,185
assigned,184
chance,183
northern,183
exited,183
slowed,183
skeptic,183
steps,183
large,182
downstairs,182
mentioned,182
change,182
snapped,181
hitting,181
filed,180
flown,180
motionless,180
therefore,180
distinguish,180
neither,179
accompanied,179
western,179
aerial,178
asked,178
downloaded,178
determined,177
informed,177
zooming,176
rushed,175
faster,174
viewing,174
vehicle,173
tremendous,173
takes,173
inconsistent,172
zigzag,170
stepped,170
southern,170
anybody,169
Station,169
stated,169
camera,169
APPEARED,169
reflecting,168
buddy,167
stretch,167
shows,167
streaking,166
Guard,164
higher,164
Witness,163
piece,163
department,162
patch,162
someone,162
stare,162
blocking,162
resemble,161
OUTSIDE,160
deleted,160
forgot,160
equally,160
intended,160
include,159
folks,159
counted,159
reversed,159
sincere,158
shopping,158
smoking,157
realised,157
hundred,156
approximatly,156
lighter,156
hovering,156
Missile,155
accelerate,154
course,153
broken,153
ACROSS,153
climbed,153
admit,153
frequently,153
leading,153
laying,152
believes,152
seven,152
something,152
Portland,152
perhaps,151
Northern,151
appeared,151
powerful,151
closest,151
expected,150
floating,150
acting,148
blended,148
neared,148
appreciate,148
means,148
rational,148
allowed,147
thousand,147
Force,147
REALLY,147
spaced,147
amazing,146
accelerated,146
abrupt,145
kinds,145
exactly,144
STOPPED,144
darted,144
atleast,144
blinked,143
barely,143
meant,143
branches,143
partially,143
varying,143
sharp,142
creating,142
zenith,142
strong,142
eastbound,141
speaking,141
instead,141
momentarily,141
approaching,141
fifteen,141
played,141
chasing,141
lowered,141
written,140
acute,140
similiar,140
makes,140
plenty,140
correct,139
beside,139
TOWARDS,139
truly,139
occasional,139
concluded,138
solid,138
towards,138
genuine,138
describe,138
nearest,138
suppose,138
street,137
welcome,137
according,137
unusual,136
usually,136
aligned,136
highest,135
older,135
allow,135
fishing,135
identical,135
shining,135
describes,135
flared,134
staring,134
unidentified,134
descended,133
elongated,133
finding,133
bright,133
FLASHING,133
tracked,133
remains,133
popped,132
property,132
winked,132
everyone,132
Little,131
figure,131
observed,131
complete,131
shoots,131
overlooking,131
girls,130
twinkle,130
similar,130
traversed,130
despite,130
driving,129
SMALL,129
discussed,129
equilateral,129
thousands,128
honest,128
studying,128
contacting,128
special,128
international,128
beleive,128
certain,128
electrical,128
turning,127
slight,127
crisp,127
farther,126
supposed,126
Strange,126
stopping,126
alerted,125
likely,125
gained,125
claimed,125
quickly,125
reasons,125
revealed,125
COMING,125
eating,124
multiple,124
spread,124
grocery,124
banked,124
hopes,124
increase,124
carried,124
ready,124
notice,123
extremly,123
funny,123
given,122
thier,122
attached,122
raised,122
admiring,121
round,121
occurance,121
grateful,121
zoomed,121
overall,121
commercial,120
intrigued,120
closed,120
definitely,120
metres,120
wearing,120
either,120
westbound,120
meaning,119
didnt,119
indicating,119
startled,119
freaking,119
uncertain,118
liked,118
TURNED,118
northerly,118
spend,118
strobes,118
displayed,117
placed,117
simple,117
spheres,117
Columbus,117
sorts,116
national,116
still,116
points,116
seperated,116
dense,116
proximity,116
intensity,116
faced,115
moving,115
ascend,115
reasonable,115
outside,114
luminosity,114
company,114
dropping,114
outlined,113
rising,113
AROUND,113
