name,count
Seattle,14
NUFORC,11
report,8
evening,8
December,8
earthquake,7
great,7
meeting,6
event,6
ground,6
Killian,6
approximate,5
letter,5
object,5
ldquo,5
objects,5
reported,5
passed,5
meteor,5
Puget,4
written,4
light,4
large,4
moved,4
Townsend,4
Sound,4
place,4
aftershocks,4
health,4
northwest,4
County,4
interesting,4
minutes,4
LETTER,3
Bainbridge,3
Carolina,3
information,3
three,3
comet,3
sighting,3
author,3
since,3
whether,3
article,3
clear,3
several,3
appeared,3
resident,3
believe,3
gratitude,3
distance,3
express,3
source,3
earth,3
Island,3
grandfather,3
returning,3
toward,3
shock,3
years,3
published,3
eight,3
North,3
stoop,3
caused,3
indicates,3
alarmed,3
whole,3
clock,3
Puyallup,3
coming,3
appearance,3
along,3
people,3
described,3
grandson,3
prior,3
witnesses,3
apparently,3
witness,3
heard,3
personal,2
There,2
diameter,2
length,2
manner,2
south,2
articles,2
observed,2
Press,2
every,2
sonic,2
corner,2
newspapers,2
never,2
disappeared,2
yards,2
friends,2
think,2
street,2
write,2
barrel,2
arrival,2
thrown,2
horse,2
March,2
together,2
balloons,2
different,2
gentleman,2
Witness,2
expect,2
family,2
balloon,2
Oconaluftee,2
Newcastle,2
moving,2
phenomenon,2
burning,2
streets,2
commences,2
submitted,2
alleged,2
trees,2
circumstance,2
About,2
another,2
photocopies,2
pictures,2
Missouri,2
looking,2
Jackson,2
split,2
sitting,2
SCHOHARIE,2
William,2
western,2
noted,2
Carrollton,2
provide,2
Friday,2
found,2
incident,2
paper,2
Riley,2
colours,2
later,2
Portland,2
Avenue,2
Lufty,2
valleys,2
rocks,2
house,2
region,2
serve,2
immediately,2
Oconylufty,2
residents,2
comment,2
southeast,2
square,2
curious,2
serpentine,2
location,2
church,2
Stuck,2
AUTHOR,2
spheroid,2
might,2
fireball,2
straight,2
August,2
summer,2
Chuckanut,2
witnessing,2
booms,2
story,2
white,2
newspaper,2
miles,2
circuit,2
called,2
vanity,2
smoke,2
traveling,2
quite,2
hundred,2
months,2
present,2
meteors,2
London,2
night,2
received,2
added,2
Earthquake,2
earthquakes,2
times,2
plainly,2
cracks,2
stench,2
Sergeant,2
Regiment,2
sudden,2
rectangular,2
going,2
meteorite,2
closed,2
deleted,2
hollow,2
females,2
hovering,1
brethren,1
shine,1
thanks,1
splendour,1
early,1
religion,1
meteoric,1
hearts,1
Society,1
Owelus,1
Yellowstone,1
existencewhich,1
reinforcements,1
tolerable,1
investigated,1
grace,1
passage,1
Ihope,1
ascending,1
given,1
clarity,1
COUNTY,1
quarter,1
company,1
best,1
prayers,1
worth,1
viewed,1
welfare,1
trace,1
enjoy,1
CUTHBERT,1
warmed,1
Please,1
Atlanta,1
following,1
stalls,1
Margaret,1
preacher,1
minister,1
arose,1
commencedon,1
necessary,1
embrace,1
sickness,1
January,1
Family,1
futurewife,1
Traditions,1
proper,1
thechurch,1
endeavored,1
Being,1
Creek,1
Springs,1
punctuation,1
Savanna,1
reports,1
short,1
dates,1
howled,1
History,1
checked,1
foot,1
breadth,1
crashing,1
playing,1
tomorrow,1
detail,1
wheat,1
today,1
accident,1
obseved,1
myers,1
appears,1
crashHas,1
watch,1
sounds,1
southern,1
sulphur,1
confirmation,1
viewing,1
noonday,1
truth,1
engravings,1
sighted,1
fabulous,1
owner,1
ofwater,1
level,1
Sowless,1
forsake,1
Company,1
Chronicle,1
onlyif,1
computer,1
Dorsetshire,1
looked,1
carries,1
Sherman,1
future,1
Acorn,1
darted,1
Irving,1
experiences,1
wonder,1
farther,1
small,1
individual,1
books,1
etc,1
exactly,1
teacher,1
Confederate,1
meteoritic,1
compartments,1
married,1
single,1
frightened,1
changed,1
stories,1
boundary,1
ABOUT,1
photos,1
afterwards,1
ascended,1
Last,1
unknown,1
Object,1
Carlisle,1
Frightened,1
Cadotte,1
fiddle,1
Locus,1
trail,1
relatively,1
terminate,1
attendand,1
mindwhen,1
nuforc,1
direct,1
A,1
known,1
thegrace,1
nearby,1
tight,1
pretty,1
Ihave,1
much,1
danced,1
Mississippi,1
weeks,1
rider,1
photographer,1
journal,1
balance,1
swells,1
waves,1
overshone,1
cases,1
It,1
diameters,1
perpendicular,1
air,1
Philosophical,1
Mountain,1
serious,1
On,1
circulating,1
rather,1
Author,1
strange,1
front,1
plucked,1
accross,1
reference,1
foddertaken,1
printed,1
Circular,1
Union,1
Photo,1
although,1
thislife,1
Olympia,1
National,1
troops,1
inAugust,1
andvexation,1
Tacoma,1
andaccording,1
others,1
picture,1
ABOVE,1
ocean,1
position,1
probably,1
Democratic,1
result,1
February,1
Smoky,1
Sunday,1
force,1
vertically,1
restaurants,1
lamps,1
common,1
covered,1
locomotive,1
Oldfields,1
purpose,1
dwelling,1
affectionatelyWm,1
proved,1
disc,1
spaceships,1
determined,1
squares,1
rememberthat,1
painted,1
explore,1
Huntington,1
trouble,1
Montana,1
INFORMATION,1
radiant,1
whileyou,1
Columbia,1
Cherokee,1
fainted,1
The,1
throughout,1
relatives,1
homeand,1
shaped,1
grateful,1
COMPLETE,1
district,1
photocopy,1
something,1
situation,1
Post,1
scanned,1
asflus,1
submit,1
sound,1
website,1
Number,1
better,1
BROWN,1
Blood,1
confidence,1
start,1
probationers,1
world,1
reminiscent,1
dragon,1
enlightened,1
looks,1
States,1
stated,1
zoomed,1
stone,1
Fireball,1
bullock,1
droll,1
spelling,1
woods,1
Addressed,1
bright,1
comes,1
someone,1
PRINTED,1
quake,1
anyintelligence,1
People,1
General,1
chimney,1
Hughes,1
copied,1
eighth,1
During,1
Sabbath,1
ghosts,1
posted,1
instant,1
accompanied,1
Great,1
apparent,1
emitted,1
occurred,1
riding,1
carroll,1
serpent,1
considerable,1
number,1
religious,1
counts,1
wherein,1
associated,1
prevailing,1
shake,1
observation,1
thanMissouri,1
Infantry,1
located,1
gathering,1
Tenn,1
conversions,1
itimmediately,1
finally,1
masse,1
begin,1
moment,1
advent,1
Universal,1
SETTLEMENT,1
redolent,1
welding,1
lights,1
decades,1
store,1
strength,1
country,1
site,1
SDUFO,1
confined,1
photographs,1
headed,1
selftolerable,1
Nedved,1
terms,1
material,1
lasted,1
formation,1
toNorth,1
harmony,1
cool,1
overspread,1
behold,1
Atkinson,1
forenoon,1
related,1
cadotte,1
smelled,1
riches,1
Northcarolina,1
Letter,1
generations,1
condense,1
means,1
flying,1
permitted,1
stronger,1
Dozens,1
Weekly,1
James,1
fiery,1
averted,1
whose,1
Major,1
untethered,1
shaman,1
children,1
thethings,1
visit,1
Chinese,1
mines,1
farmer,1
Bellingham,1
altered,1
north,1
heaven,1
couple,1
enjoyed,1
Missourian,1
corrections,1
Evening,1
superstitions,1
horses,1
images,1
Johnston,1
third,1
congregation,1
touch,1
order,1
observer,1
montana,1
notes,1
stores,1
advice,1
duration,1
lumbering,1
communication,1
reads,1
Our,1
swing,1
neighborhood,1
Meteorite,1
whileI,1
Washington,1
parting,1
primitive,1
nothing,1
micro,1
factual,1
companion,1
saloons,1
rising,1
mildly,1
apparitions,1
painting,1
seconds,1
possession,1
exploded,1
aplace,1
aftershock,1
water,1
addition,1
asthis,1
thick,1
consider,1
Germans,1
guess,1
chronology,1
oldest,1
opportunity,1
thankful,1
things,1
cause,1
clumped,1
GERMANS,1
Flattery,1
wastwo,1
resembled,1
group,1
After,1
linesmay,1
subject,1
directly,1
Earthquakes,1
meridian,1
suggests,1
though,1
except,1
importance,1
person,1
suffice,1
Between,1
tried,1
refulgent,1
He,1
cleared,1
petitions,1
more,1
hand,1
increased,1
passing,1
follow,1
Just,1
Whatcom,1
Campaign,1
often,1
PERSONAL,1
happen,1
Virginia,1
carrollton,1
Intelligencer,1
fever,1
contact,1
Acting,1
crash,1
general,1
circa,1
decided,1
everything,1
belongsto,1
closing,1
wellas,1
October,1
do,1
indicated,1
makethat,1
minute,1
State,1
standing,1
SKETCH,1
equal,1
thoughtfully,1
lighted,1
Lulworth,1
Reported,1
panic,1
Moving,1
famous,1
suggest,1
second,1
without,1
transcript,1
This,1
seemed,1
severe,1
wide,1
picked,1
dated,1
ceiling,1
PODear,1
Shortly,1
eternal,1
already,1
immense,1
possible,1
prepare,1
buildings,1
similar,1
stood,1
possiblyhis,1
sowed,1
email,1
craft,1
sparkling,1
spirit,1
College,1
reaching,1
Prior,1
recall,1
butthe,1
airplanes,1
sulpherExcerpt,1
occurring,1
fewremarks,1
here,1
I,1
descended,1
daily,1
follows,1
descends,1
Shoal,1
Historical,1
attempt,1
Lords,1
thought,1
endeavoring,1
crashed,1
onhorseback,1
fellow,1
sincere,1
feelings,1
canyon,1
srory,1
enemy,1
round,1
Thursday,1
taken,1
thatwe,1
answer,1
FIRST,1
flashed,1
resolution,1
Adjutant,1
obtain,1
tapering,1
forwarded,1
Oregon,1
anxious,1
Afterwards,1
preserved,1
strongly,1
calmed,1
complete,1
incandescence,1
persons,1
worshippers,1
British,1
rectangle,1
findings,1
hellip,1
permit,1
apart,1
Notes,1
letterto,1
conjecture,1
preparation,1
started,1
referring,1
excepting,1
school,1
reincuring,1
sightings,1
Indians,1
sharp,1
Street,1
Webster,1
wrote,1
narrowly,1
Yours,1
Pennsylvania,1
BRIEF,1
shows,1
spring,1
Victoria,1
stagger,1
mercy,1
drolllumbering,1
thoroughly,1
winds,1
Mountains,1
soldier,1
strike,1
rapidly,1
forgiveness,1
ascertain,1
hours,1
roaring,1
shape,1
ceramic,1
Third,1
wagon,1
daysback,1
rushed,1
editor,1
Described,1
shaking,1
Sacrifice,1
Indeed,1
droke,1
characteristic,1
certainly,1
higher,1
point,1
balls,1
escape,1
Answer,1
