id,value
flare,
flare.BoeingFieldKingCountyInternationalAirport,1509
flare.PortlandInternationalAirport,1506
flare.LosAngelesInternationalAirport,1174
flare.PhiladelphiaInternationalAirport,1019
flare.LaGuardiaAirport,965
flare.LesterBPearsonInternationalAirport,952
flare.BradleyInternationalAirport,943
flare.NewarkLibertyInternationalAirport,928
flare.PhoenixSkyHarborInternationalAirport,913
flare.DenverInternationalAirport,852
flare.ChicagoMidwayInternationalAirport,852
flare.GeneralEdwardLawrenceLoganInternationalAirport,811
flare.NormanYMinetaSanJoseInternationalAirport,740
flare.OntarioInternationalAirport,689
flare.VancouverInternationalAirport,684
flare.PittsburghInternationalAirport,683
flare.McCarranInternationalAirport,637
flare.LukeAirForceBase,632
flare.DetroitMetropolitanWayneCountyAirport,624
flare.Minneapolis-StPaulInternational/Wold-ChamberlainAirport,623
flare.ManchesterAirport,601
flare.SanDiegoInternationalAirport,594
flare.McChordAirForceBase,588
flare.MBSInternationalAirport,533
flare.SaltLakeCityInternationalAirport,513
