date	close
09-Oct-95	3
11-Oct-95	4
03-Jan-95	8
10-May-95	3
14-Jun-95	3
24-Oct-95	4
19-Apr-95	5
11-Sep-95	4
14-Feb-95	2
15-Sep-95	2
20-Feb-95	8
24-Jul-95	1
12-Jun-95	9
23-Aug-95	8
16-Apr-95	5
07-Feb-95	6
17-Nov-95	11
11-Jun-95	4
14-May-95	4
04-Feb-95	6
11-Sep-95	4
06-Nov-95	4
28-Jun-95	4
14-Mar-95	5
07-Mar-95	4
16-May-95	4
30-Jul-95	7
22-Aug-95	7
07-Feb-95	6
10-Sep-95	4
28-Mar-95	2
04-Apr-95	5
02-Mar-95	2
22-Feb-95	6
14-Sep-95	9
25-Aug-95	5
30-Jan-95	3
29-Aug-95	5
22-Jan-95	2
24-Oct-95	4
16-Sep-95	1
26-Apr-95	4
23-Apr-95	3
22-Feb-95	6
19-Mar-95	3
16-Nov-95	3
03-Feb-95	3
07-Jun-95	2
27-Jun-95	1
09-Aug-95	3
25-Aug-95	5
07-Mar-95	4
10-May-95	3
13-Sep-95	4
09-Aug-95	3
04-Feb-95	6
23-Jul-95	2
22-Mar-95	4
22-Feb-95	6
12-Mar-95	7
03-Jun-95	4
03-Jan-95	8
26-Mar-95	4
04-Aug-95	7
30-Jul-95	7
12-Jun-95	9
17-Nov-95	11
12-Mar-95	7
20-Jul-95	3
16-Apr-95	5
23-Aug-95	8
31-Jan-95	5
14-Sep-95	9
02-Oct-95	8
18-Jul-95	3
03-Oct-95	2
27-Oct-95	2
15-Jun-95	2
26-Apr-95	4
23-Aug-95	8
22-Mar-95	4
06-Jul-95	2
29-Sep-95	4
29-Sep-95	4
08-Nov-95	5
09-Oct-95	3
26-Jul-95	2
21-Aug-95	4
18-Mar-95	4
20-Jun-95	2
04-Apr-95	5
19-Jun-95	1
20-Apr-95	2
14-Sep-95	9
12-Nov-95	3
29-Oct-95	2
25-Apr-95	3
02-Jan-95	1
06-Aug-95	2
29-Aug-95	5
24-Jun-95	2
11-Nov-95	3
02-Oct-95	8
17-May-95	2
07-Mar-95	4
12-Jun-95	9
28-Jul-95	6
29-Jul-95	5
30-Aug-95	3
10-Feb-95	6
04-Sep-95	1
02-Oct-95	8
01-Oct-95	5
06-Feb-95	3
14-Sep-95	9
20-Mar-95	4
17-Aug-95	9
01-Oct-95	5
17-Jan-95	3
07-Oct-95	4
31-Jul-95	1
08-Jan-95	1
14-Mar-95	5
21-Sep-95	4
16-May-95	4
03-Oct-95	2
04-Mar-95	2
29-Sep-95	4
21-Jun-95	1
04-Feb-95	6
24-May-95	5
17-Feb-95	4
20-Sep-95	2
25-Sep-95	2
01-Aug-95	6
03-Nov-95	4
14-May-95	4
04-Jun-95	1
02-Apr-95	4
24-Jan-95	5
21-Feb-95	7
26-Sep-95	4
31-Oct-95	5
01-Nov-95	3
01-Nov-95	3
18-Mar-95	4
20-Sep-95	2
12-Nov-95	3
02-Feb-95	1
07-Jan-95	4
12-Sep-95	5
01-Mar-95	2
31-Jan-95	5
12-Jun-95	9
02-Jul-95	2
14-May-95	4
14-Aug-95	6
15-Jul-95	3
11-Jun-95	4
01-Aug-95	6
09-Jan-95	2
12-Jun-95	9
07-May-95	2
27-Mar-95	2
13-Sep-95	4
16-Aug-95	2
28-Aug-95	9
10-Apr-95	3
20-Aug-95	4
15-Feb-95	5
23-May-95	2
03-Jan-95	8
22-Jan-95	2
