date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
19951218,1.114995384,,,0,,,1.09,8,,,
19970410,6.081342075,,,0,,,,,, light,45 Seconds
19970720,47.12344085,,,0,,,,,, unknown,5-7 min
19970721,5.921058709,,,0,,,0,6,, unknown,3 minutes
19970722,7.070332697,,,0,,,,,, rectangle,1 minute
19970810,,,,0,,,0,,, cigar,10-15 min
19971004,1.343656991,,,0,,,,,, light,about 1/2 hr - 1 hr
19971005,7.184756561,,,0,,,,,, light,15 min
19971007,2.358617534,,,0,,,0,10,, cigar,3-5 minutes
19971019,3674.439568,,,0,,,0,10,,,unknown
19971106,,,,0,,,0,15,, other,10min
19971120,4.680194083,,,0,,,0.01,8,, light,2minutes
19971202,2.173436528,,,0,,,,,, formation,30 mins
19980216,0.549555319,,,0,,,,,, disk,1or2 min.
19980311,1.953055193,,,0,,,,,, cigar,hour or so
19980415,,,,0,,,0,9,, sphere,1/2 hour
19980523,0.25705088,,,0,,,0,10,, cigar,2 minutes
19980617,,,,0,,,0.01,,, circle,15 seconds
19980625,0.62291359,,,0,,,0,10,, triangle,30 sec
19980627,6.203748833,,,0,,,,,, cigar,30 minutes +
19980721,10.1319347,,,0,,,0,6,, disk,45 min
19980804,1.024803468,,,0,,,0,9,, light,5 minutes
19980905,1.466269687,,,0,,,0.2,10,, cylinder,10sec.
19980919,379.2763117,,,0,,,0,8,, triangle,1 minute
19980925,2.336084744,,,0,,,0,11,, light,45sec.
19980927,,,,0,,,,,, chevron,30-40 min
19981028,,,,0,,,0,5,, other,7-8 minutes
19981029,4.021259907,,,0,,,0,10,, circle,3 minutes
19981102,,,,0,,,,,, egg,15-20 sec
19981115,1.468498111,,,0,,,0.02,6,, formation,approx 3 minutes
19981116,,,,0,,,,,, fireball,30 minurwa
19981117,,,,0,,,,,, sphere,2 minutes
19981207,,,,0,,,,,, circle,25 minutes
19981212,10.28427672,,,0,,,0,10,, circle,20sec.
19981212,,,,0,,,,,, disk,40 mintues
19981224,130.2043667,,,0,,,0,10,, disk,3 min.
19981228,0.582437966,,,0,,,,,, sphere,1 mn
19990105,1.94767491,,,0,,,0,11,, other,1-3 minutes
19990117,3.117799947,,,0,,,0.31,2,, other,5 minutes
19990121,40.84352478,,,0,,,0,13,, triangle,8 seconds
19990128,,,,0,,,,,, formation,3 min.
19990217,1.278952016,,,0,,,0.19,8,, fireball,20 Seconds
19990220,,,,0,,,,,, circle,45 mins
19990225,0.251619188,,,0,,,0.14,,, formation,5 min.
19990225,329.5848803,,,0,,,0,9,, cigar,25 secs.
19990226,2265.537549,,,0,,,0,11,, chevron,15 sec
19990301,570.0522821,,,0,,,,,, circle,15 min or so
19990306,2.437347563,,,0,,,0.22,5,, other,15 minutes
19990311,1339.110458,,,0,,,,,, triangle,approx10min
19990314,1713.479853,,,0,,,0,10,, unknown,1 to 2 minutes
19990315,3.716932506,,,0,,,,,, sphere,Driving
19990409,8198.842831,,,0,,,,,, other,4minutes
19990507,6.989024415,,,0,,,0,8,, cigar,10.to 15.mins
19990508,3.061960188,,,0,,,,,, disk,2 min.
19990509,0.217449418,,,0,,,0.01,10,, cigar,26 seconds
19990511,10.59561796,,,0,,,,,, other,5-10 minutes
19990512,723.5466816,,,0,,,0.01,10,, circle,10-15 seconds
19990524,9.22E+18,,,0,,,,,, light,20 seconds
19990529,,,,0,,,,,, light,2 minutes
19990603,,,,0,,,,,, changing,30 minutes
19990624,1.222737764,,,0,,,0,9,, cylinder,15 seconds
19990627,,,,0,,,,,, sphere,20 mins
