release,year,position,title,artist
20050101,20050101,,7.1, Columbia  SC
20050101,20050101,,8.6, Chicago  IL
20050101,20050101,,8, Belleview  FL
20050101,20050101,,8.3, Fullerton  CA
20050101,20050101,,11.1, Brentwood  CA
20050101,20050101,,8, Tampa  FL
20050101,20050101,,8, Ocean Shores  WA
20050101,20050101,,4.7, Columbus  GA
20050101,20050101,,11, Las Vegas  NV
20050101,20050101,,5, Route 202  NJ
20050101,20050101,,4.4, Chester  WV
20050101,20050101,,7.2, North Hollywood  CA
20050101,20050101,,7.2, Baltimore  MD
20050101,20050101,,8.2, Phoenix  AZ
20050101,20050101,,11.5, Wikitravel  HI
20050102,20050102,,7.5, Seattle  WA
20050102,20050102,,7.5, Seattle  WA
20050102,20050102,,7, Pawtucket  RI
20050102,20050102,,4.8, Helena  AL
20050102,20050102,,11.1, Brentwood  CA
20050102,20050102,,8.4, LaCrosse/Dusty (between)  WA
20050102,20050102,,8.2, Melba  ID
20050102,20050102,,10.7, Fortuna  CA
20050103,20050103,,7.5, Seattle  WA
20050103,20050103,,13.3, Alpine  CA
20050103,20050103,,6.1, Charlotte  NC
20050104,20050104,,9, Sunnyvale  CA
20050104,20050104,,7.2, Calabasas  CA
20050104,20050104,,7.5, Bremerton  WA
20050104,20050104,,4.5, Harrisburg  NC
20050104,20050104,,7.3, Dallas  OR
20050104,20050104,,9, Castro Valley  CA
20050104,20050104,,8.4, Sammamish  WA
20050105,20050105,,7.3, Dallas  OR
20050105,20050105,,7.1, Buffalo  NY
20050105,20050105,,7.6, Orange  CA
20050105,20050105,,7.2, Los Angeles  CA
20050105,20050105,,6.8, Wellington  FL
20050105,20050105,,8.4, Renton  WA
20050105,20050105,,4.2, Cullman  AL
20050105,20050105,,5.1, Lewisville  NC
20050105,20050105,,5.1, Chicago- West Suburbs- Rt 171  IL
20050106,20050106,,6.2, Houston  TX
20050107,20050107,,8.5, Richmond  VA
20050107,20050107,,7.2, Bakersfield  CA
20050107,20050107,,5.7, Miami  FL
20050107,20050107,,5.7, Miami  FL
20050107,20050107,,6.6, Waterford  PA
20050107,20050107,,6.2, New York City (Manhattan)  NY
20050107,20050107,,9.1, Andover  MA
20050107,20050107,,5.7, Miami  FL
20050108,20050108,,5.9, Dallas  TX
20050108,20050108,,9, Castro Valley  CA
20050108,20050108,,8.6, Chicago  IL
20050108,20050108,,7, Cumberland  RI
20050108,20050108,,6.2, DeQuency  LA
20050109,20050109,,8.3, Sedona  AZ
20050109,20050109,,7.5, Ashville  OH
20050109,20050109,,8.1, Worcester  MA
20050109,20050109,,9.4, Orinda  CA
20050110,20050110,,8.4, Bellevue  WA
20050110,20050110,,8.2, Scottsdale  AZ
20050110,20050110,,6.2, Houston  TX
20050110,20050110,,4.6, Murfreesboro  TN
20050110,20050110,,8.8, Lincoln City  OR
20050110,20050110,,8.8, Barryton  MI
