State,UFO Sightings,Satellite,Fireball,Pilotballoon
1944,12,0,0,2
1945,12,0,0,2
1946,11,0,0,2
1947,39,0,0,3
1948,10,0,0,1
1949,16,0,0,6
1950,28,0,0,2
1951,23,0,0,3
1952,52,0,0,8
1953,35,0,0,3
1954,53,0,0,5
1955,38,0,0,4
1956,42,0,0,4
1957,74,0,0,9
1958,45,0,0,6
1959,51,0,0,7
1960,67,0,0,9
1961,44,0,0,3
1962,60,0,0,8
1963,79,0,0,9
1964,84,0,0,7
1965,178,0,0,14
1966,186,0,0,21
1967,194,0,0,17
1968,209,0,0,23
1969,153,0,0,17
1970,142,0,0,8
1971,124,0,0,15
1972,172,0,0,19
1973,222,0,0,35
1974,267,7,0,22
1975,308,0,0,32
1976,273,0,0,24
1977,261,0,0,15
1978,338,0,0,25
1979,246,0,0,22
1980,236,0,0,24
1981,158,0,0,13
1982,192,0,0,10
1983,150,0,0,14
1984,188,0,0,15
1985,206,0,0,14
1986,198,0,0,17
1987,219,0,0,22
1988,225,0,2,17
1989,249,0,0,18
1990,256,0,3,15
1991,235,0,0,12
1992,259,0,0,14
1993,328,4,0,25
1994,423,0,24,37
1995,1393,12,25,212
1996,940,18,34,103
1997,1337,46,105,222
1998,1941,100,25,253
1999,3066,124,124,458
2000,3008,191,244,458
2001,3435,109,74,282
2002,3608,241,148,276
2003,4336,313,181,314
2004,4657,313,220,354
2005,4405,213,469,351
2006,4051,323,356,300
2007,4603,316,249,303
2008,5123,378,349,388
2009,4767,409,287,392
2010,2745,217,155,223
