origin,destination
Warwick  RI,Santa Cruz  CA
Santa Cruz  CA,Warwick  RI
Warwick  RI,Naperville  IL
Naperville  IL,Warwick  RI
Warwick  RI,Greentown  IN
Greentown  IN,Warwick  RI
Williamsburg  OH,Oakland  CA
Oakland  CA,Williamsburg  OH
Williamsburg  OH,Fort Ann  NY
Fort Ann  NY,Williamsburg  OH
Aurora  CO,Prescott Valley  AZ
Prescott Valley  AZ,Aurora  CO
Aurora  CO,Auburn  IN
Auburn  IN,Aurora  CO
Marlette  MI,Gardiner  ME
Gardiner  ME,Marlette  MI
Marlette  MI,Thief River Falls  MN
Thief River Falls  MN,Marlette  MI
Marlette  MI,Scranton  PA
Scranton  PA,Marlette  MI
Marlette  MI,Salida  CA
Salida  CA,Marlette  MI
Marlette  MI,Naperville  IL
Naperville  IL,Marlette  MI
Marlette  MI,Iola  IL
Iola  IL,Marlette  MI
Allison Park  PA,North San Diego  CA
North San Diego  CA,Allison Park  PA
Allison Park  PA,Baltimore  MD
Baltimore  MD,Allison Park  PA
West Hollywood  CA,Burlington  VT
Burlington  VT,West Hollywood  CA
West Hollywood  CA,Colchester  VT
Colchester  VT,West Hollywood  CA
West Hollywood  CA,Ocala  FL
Ocala  FL,West Hollywood  CA
