UFO_location,UFO_long,UFO_lat,Sighted_Date
Myers Spring Canyon  TX,-99.5120986,31.8160381,14000630
Carlisle  NY,-77.1893888,40.201824,17900630
Cherokee  NC,-84.0886181,35.1184149,18600802
Cave Springs  GA,-94.2318728,36.2634109,18640516
Cadotte Pass  MT,-55.5716547,-12.2115009,18650630
Yellowstone National Park  WY,-110.5607575,44.6200885,18710630
Bellingham  WA,-122.4788602,48.754402,18801212
Carrollton  MO,-96.8902816,32.9537349,18990630
Falcon  TX,-65.0477909,-42.7515044,19011202
Solon  ME,-81.4412259,41.3897764,19100528
Wills Point  TX,-90.0059039,29.7468765,19100601
Cicero  IN,-87.7539448,41.8455878,19200611
Mussell County  MT,-81.7959912,30.6277715,19200615
Willingboro  NJ,-74.8690542,40.0278894,19300630
Abilene  KS,-99.7333478,32.4464534,19310601
New York Worlds Fair  NY,-73.850989,40.759199,19330418
Crater Lake  CA,-87.95528097,49.6114698,19350615
Alma  MI,-84.659727,43.37892,19360715
Eklutna  AK,-149.3622222,61.4580556,19361015
Hubbard  OR,-80.569239,41.156446,19370615
Fontana  CA,-117.435048,34.0922335,19370815
Keokuk  IA,-91.385202,40.3973423,19390707
Belton  SC,-82.4942948,34.5228881,19390715
Forest Home  CA,-86.9269465,35.9758961,19410702
Los Angeles  CA,-118.244476,34.054935,19420225
Hapeville  GA,-84.4102046,33.660109,19420601
Oneida  TN,-75.4039155,43.2144051,19420715
Bering Sea  AK,-175.0000001,60.0000001,19430430
Nebraska  NE,-99.5873816,41.7370229,19430601
unknown  LA,-106.1731049,47.54174645,19430815
Wilderness  WV,-80.878864,38.1071024,19440101
San Diego  CA,-117.1627714,32.7174209,19440101
Clovis  NM,-119.7029194,36.8252277,19440402
Los Alamos  NM,-120.2659105,34.7379311,19440601
South Kingstown  RI,-71.5394738,41.456191,19440701
North Tampa  FL,-82.4668489,28.0330161,19440715
Ft. Lee  VA,-73.9701382,40.8509333,19450101
Winston Salem  NC,-80.2440518,36.0998131,19450607
Portsmouth  VA,-70.7625532,43.0717552,19450710
Dallas  TX,-96.7968559,32.7762719,19450715
Huntington Beach  CA,-118.0000166,33.6783336,19450808
San Antonio  NM,-98.4951405,29.4246002,19450816
Roswell  NM,-104.5229518,33.3943282,19451215
Merced  CA,-120.4843269,37.3029568,19460201
Alice  TX,-98.0697249,27.7522487,19460315
Blairsden  CA,-120.6087805,39.7753335,19460630
Index  WA,-121.5538914,47.8208311,19460630
South Portland  ME,-70.2408811,43.6414716,19460701
Oak Lawn  IL,-87.7581081,41.7108662,19460912
Dome  AZ,-110.1178546,31.7109238,19460930
Conroe  TX,-95.4560512,30.3118769,19470110
Syracuse  NY,-76.1474244,43.0481221,19470220
San Deigo  CA,139.7466433,35.6705437,19470415
Oroville  CA,-121.556359,39.5137752,19470601
Minden  LA,-98.948074,40.498784,19470601
Cleveland  OH,-84.8766115,35.1595182,19470601
Oakmont  PA,-79.8422719,40.5217347,19470613
Madison  WI,-86.7483318,34.6992579,19470615
Gackle  ND,-99.142054,46.625811,19470615
Baltimore  MD,-76.610759,39.2908816,19470630
Wexford  PA,-80.055891,40.6264561,19470701
Maywood  CA,-118.185349,33.9866807,19470701
Cashmere  WA,-120.4689464,47.5223107,19470701
Sioux Falls  SD,-96.700327,43.5499749,19470704
Philadelphia  PA,-75.1635899,39.9523993,19470705
Dell Rapids  SD,-96.706161,43.826084,19470705
Johnston City  IL,-88.9275695,37.8206053,19470709
Richmond  CA,-77.43428,37.5385087,19470714
San Jose  CA,-121.9031599,37.3297085,19470715
