Row_Labels,Count_of_City_name
Alabama,498
Alaska,234
Arizona,2100
Arkansas,531
California,7599
Colorado,1169
Connecticut,615
Delaware,126
District of Columbia,93
Florida,2844
Georgia,992
Hawaii,240
Idaho,363
Illinois,2065
Indiana,1055
Iowa,493
Kansas,507
Kentucky,689
Louisiana,457
Maine,412
Maryland,611
Massachusetts,909
Michigan,1555
Minnesota,754
Mississippi,322
Missouri,1204
Montana,349
Nebraska,326
Nevada,722
New Hampshire,355
New Jersey,1129
New Mexico,641
New York,2417
North Carolina,1221
North Dakota,114
Ohio,1689
Oklahoma,558
Oregon,1414
Pennsylvania,1802
Puerto Rico,36
Rhode Island,197
South Carolina,588
South Dakota,143
Tennessee,877
Texas,3019
Utah,477
Vermont,173
Virgin Islands of the United States,2
Virginia,920
Washington,3349
West Virginia,345
Wisconsin,910
Wyoming,167
