Year	No_of_UFO_Sightings
1943	10
1944	12
1945	12
1946	12
1947	39
1948	10
1949	16
1950	28
1951	22
1952	52
1953	35
1954	52
1955	38
1956	42
1957	74
1958	45
1959	51
1960	67
1961	44
1962	59
1963	79
1964	83
1965	177
1966	186
1967	194
1968	209
1969	153
1970	142
1971	122
1972	173
1973	220
1974	266
1975	305
1976	272
1977	260
1978	338
1979	246
1980	236
1981	159
1982	211
1983	154
1984	236
1985	229
1986	202
1987	228
1988	224
1989	249
1990	254
1991	233
1992	259
1993	326
1994	422
1995	1394
1996	936
1997	1338
1998	1957
1999	3100
2000	3049
2001	3461
2002	3610
2003	4342
2004	4664
2005	4410
2006	4042
2007	4522
2008	5085
2009	4738
2010	2736
