Year	Within_25Miles	Outside_25Miles
1790	1	0
1860	1	0
1864	1	0
1871	0	1
1880	1	0
1896	1	0
1899	1	0
1901	1	0
1905	1	0
1906	1	0
1910	3	0
1914	1	0
1916	1	0
1920	1	0
1922	1	0
1925	1	0
1929	1	0
1930	1	0
1931	2	0
1934	1	0
1935	1	0
1936	3	0
1937	2	0
1939	2	0
1941	2	1
1942	5	0
1943	6	0
1944	11	1
1945	10	1
1946	10	0
1947	34	2
1948	10	0
1949	15	1
1950	26	1
1951	22	0
1952	46	2
1953	32	1
1954	43	5
1955	33	2
1956	35	2
1957	65	2
1958	40	1
1959	49	1
1960	64	2
1961	43	1
1962	52	3
1963	70	3
1964	75	5
1965	160	6
1966	166	12
1967	172	15
1968	183	12
1969	136	8
1970	126	6
1971	103	7
1972	152	7
1973	199	10
1974	245	14
1975	275	11
1976	239	18
1977	230	15
1978	298	18
1979	216	14
1980	208	13
1981	133	10
1982	167	10
1983	131	13
1984	173	6
1985	184	7
1986	182	3
1987	197	16
1988	194	14
1989	226	12
1990	224	16
1991	206	15
1992	224	14
1993	282	24
1994	368	26
1995	1260	81
1996	847	35
1997	1192	65
1998	1766	87
1999	2757	137
2000	2790	135
2001	3229	114
2002	3335	124
2003	4003	179
2004	4307	194
2005	4104	165
2006	3724	173
2007	4211	170
2008	4718	229
2009	4445	177
2010	2566	100
