Country	State	No of UFO sightings
US	YK	7
US	WA	3330
US	BC	735
US	DE	126
US	DC	92
US	WI	902
US	WV	343
US	HI	238
US	FL	2833
US	YT	12
US	WY	165
US	NH	350
US	SK	76
US	NJ	1122
US	PQ	100
US	NM	634
US	TX	3008
US	LA	454
US	NB	71
US	NC	1217
US	ND	113
US	NE	322
US	NF	21
US	.	104
US	TN	875
US	NY	2405
US	PA	1789
US	PE	21
US	NS	130
US	NT	23
US	CA	7561
US	NV	720
US	VA	915
US	AB	286
US	CO	1160
US	ON	1168
US	MB	122
US	VI	2
US	AK	234
US	AL	492
US	AR	527
US	VT	173
US	IL	2056
US	GA	987
US	IN	1042
US	IA	490
US	OK	554
US	AZ	2095
US	ID	361
US	SA	40
US	CT	608
US	ME	411
US	MD	610
US	MA	905
US	OH	1677
US	UT	473
US	MO	1198
US	MN	750
US	MI	1546
US	RI	197
US	KS	501
US	MT	345
US	QC	123
US	MS	320
US	PR	36
US	SC	586
US	KY	687
US	OR	1408
US	SD	142
		86
OKINAWA, JAPAN		2
MEXIOC		1
CHANNEL ISLANDS & NORWICH		1
ATLANTIC OCEAN/CARIBBEAN SEA		1
TURIN, NORTHERN ITALY		1
TASMANIA, AUSTRALIA		2
KHAZAKHSTAN		1
UK/SCOTLAND)		1
ERIE		1
BARBADOS		1
TENERIFE ISLAND/SPAIN		1
ALGERIA		3
CATALONIA, SPAIN		1
U.S.S. MONROVIA		1
SENEGAL		2
U. S. VIRGIN ISLANDS		5
UAE		7
OVER, SOMEWHERE		1
LAGUNA LACHUA NATIONAL PARK		1
SOUTHERN COAST; INFLIGHT SIGHTING		1
BOGOR		1
DOMINICAN REPUBLIC/NORTH COAST		1
KALAMATA		1
REPUBLIC OF IRELAND		75
MACEDONIA		3
COASTAL WATERS, WEST		1
NEAR STIRLING		1
SWAZILAND		1
1500MI.SW OF U.S.MAINLAND		1
VENEZUELA		21
CHARD TOWN, SOMERSET		1
STAFFORD		1
UZBEKISTAN		4
USS KITY HAWK AIR CRAFT CARRIER		1
GLOUCESTER (UK/ENGLAND		1
RHODES		1
FRANCE		57
NEAR		3
SRI LANKA		18
OFF COAST OF		1
NETHERLANDS		106
DURBAN		1
SOUTH ATLANTIC		1
ROSS ICE SHELF		1
AT A HIGHWAY		1
MALIBU		1
IN-FLIGHT SIGHTING		2
MOZAMBIQUE		1
UNSPECIFIED LOCATION		2
COLOMBIA		21
FROM AIRCRAFT		1
ST. LUCIA		1
ST. KITTS		1
K.MARAS		1
MULTAN		1
SAN LUIS POTOSI		1
PALMIRA		1
MONGOLIA		2
ON A CATTLE PROPERTY		1
LOS ANGELES		1
AROUND BERMUDA/CARIIBBEAN		1
TURKS & CAICOS ISLANDS		1
WESTERN		1
PAKISTAN		21
PRESPA REGION, MACEDONIA		1
USCG CUTTER SPENCER		1
GERMANY/BAVARIA		1
NEAR DAYLESFORD, VIC		1
