Year	No_of_sightings	No_of_scifi_movies_released
1860	3043	24
1942	5	5
1947	39	3
1948	10	4
1950	28	7
1952	52	8
1953	35	20
1954	52	14
1955	38	14
1957	74	31
1959	51	28
1960	67	18
1961	44	20
1962	59	15
1963	79	14
1964	83	13
1965	177	24
1966	186	19
1967	194	16
1968	209	14
1969	153	19
1970	142	15
1971	122	14
1972	172	19
1973	220	17
1974	266	19
1975	305	23
1976	272	11
1977	260	26
1978	337	19
1979	245	33
1980	236	22
1981	156	22
1982	191	34
1983	150	35
1984	188	33
1985	205	28
1986	195	32
1987	219	28
1988	224	27
1990	253	33
1991	233	26
1992	258	21
1993	326	24
1994	422	21
1995	1391	32
1996	936	21
1997	1325	21
1998	1933	22
1999	3043	24
2000	2992	19
2001	3428	23
2002	3599	36
2003	4333	28
2004	4650	34
2005	4393	30
2006	4035	34
2007	4518	26
2008	5080	31
2009	4735	39
2010	2735	34
