Year	OneD	TwoD	ThreeDOrObject	Unknown
1963	10	0	0	16
1964	19	0	0	11
1965	31	0	7	17
1966	25	0	3	28
1967	35	0	0	28
1968	29	0	3	21
1969	26	0	1	28
1970	28	0	4	22
1971	15	0	0	10
1972	33	0	1	25
1973	28	0	1	20
1974	42	0	1	37
1975	51	0	1	34
1976	46	1	3	32
1977	40	0	3	27
1978	55	0	3	45
1979	42	0	3	39
1980	43	0	6	39
1981	28	0	1	28
1982	38	1	2	21
1983	15	0	2	26
1984	44	2	6	32
1985	33	1	5	34
1986	35	0	2	35
1987	52	0	4	38
1988	33	0	4	37
1989	35	0	7	46
1990	54	0	2	52
1991	51	0	6	39
1992	43	1	5	41
1993	62	1	4	52
1994	75	0	5	61
1995	336	14	6	93
1996	300	5	9	78
1997	372	0	12	201
1998	429	0	30	237
1999	706	2	50	463
2000	732	0	51	456
2001	870	1	52	493
2002	894	5	63	554
2003	1160	2	75	711
2004	1267	3	70	753
2005	1191	4	47	727
2006	1000	1	49	642
2007	1206	0	36	686
2008	1298	1	66	753
2009	1415	2	52	688
2010	790	1	11	381
