date	literacyCount	ufoCount
1951	4041.1764705882356	23
1952	3969.117647058823	53
1953	3981.4814814814813	35
1954	4107.35294117647	53
1955	3868.75	38
1956	4155.357142857143	42
1957	3981.818181818182	74
1958	4007.575757575758	45
1959	4030.952380952381	51
1960	4021.296296296296	67
1961	4001.3513513513517	45
1962	4003.333333333333	60
1963	4092.3728813559323	79
1964	3942.1875	84
1965	4062.7737226277372	179
1966	4037.5	186
1967	4050.0	194
1968	4081.849315068493	209
1969	4097.321428571428	153
1970	4015.8415841584156	142
1971	3951.8518518518517	125
1972	4016.666666666666	172
1973	4027.9761904761904	222
1974	4066.666666666666	267
1975	4019.0582959641256	308
1976	4050.9433962264156	273
1977	4055.434782608695	261
1978	4040.466101694916	338
1979	4021.556886227545	246
1980	4078.1065088757396	236
1981	4061.8644067796613	158
1982	3994.565217391305	192
1983	4120.588235294117	150
1984	4057.09219858156	188
1985	4074.657534246575	206
1986	3954.166666666666	198
1987	4025.15923566879	219
1988	4020.8053691275168	226
1989	4055.347593582888	250
1990	4072.5609756097565	257
1991	4022.3602484472053	235
1992	4054.166666666666	259
1993	4076.267281105991	328
1994	4036.1403508771928	423
1995	4129.982668977469	1393
1996	4106.573116691285	939
1997	4090.427807486631	1338
1998	4113.542435424354	1943
1999	4091.974730931212	3068
2000	4085.369702434626	3009
2001	4115.588003157064	3435
2002	4096.329913180742	3608
2003	4065.006618133686	4336
2004	4077.563150074294	4659
2005	4072.5114155251144	4407
2006	4068.1619623655915	4054
2007	4073.5955056179773	4603
2008	4062.1044885945553	5124
2009	4071.5927528393727	4769
2010	4087.8372093023263	2749
