date	Count
19011202	1
19050627	1
19061111	1
19100101	1
19100528	1
19100601	1
19140915	1
19160405	1
19200611	1
19200615	1
19221222	1
19251228	1
19290705	1
19300601	1
19300630	1
19310215	1
19310601	1
19330418	1
19340915	1
19350615	1
19360715	1
19360915	1
19361015	1
19370615	1
19370815	1
19390707	1
19390715	1
19410601	1
19410615	1
19410702	1
19420215	1
19420225	1
19420601	1
19420715	1
19421107	1
19430118	1
19430430	1
19430601	2
19430608	1
19430813	1
19430815	1
19430907	1
19440101	3
19440402	1
19440415	1
19440601	2
19440606	1
19440701	1
19440715	1
19440815	1
19440909	1
19450101	1
19450401	1
19450504	1
19450601	1
19450606	1
19450607	1
19450615	1
19450710	1
19450715	1
19450808	1
19450816	1
19451215	1
19460108	1
19460201	1
19460315	1
19460601	1
19460615	1
19460630	2
19460701	1
19460912	1
19460930	1
19461225	1
19470101	1
19470110	1
19470115	1
19470220	1
19470415	2
19470601	3
19470613	1
19470615	3
19470630	1
19470701	3
19470704	1
19470705	2
19470707	1
19470709	1
19470711	1
19470714	2
19470715	6
19470720	1
19470808	1
19470812	2
19470815	1
19471015	1
19471016	1
19471224	1
19480510	1
19480601	2
19480615	1
19480630	2
19480715	1
19480801	1
19480815	1
19481212	1
19490410	1
19490501	1
19490515	1
19490604	1
19490610	1
19490630	1
19490701	1
19490715	1
19490815	2
19490825	1
19490915	2
19491010	2
19491015	1
19500101	1
19500102	1
19500322	1
19500415	1
19500512	1
19500601	5
19500607	1
19500608	1
19500612	1
19500615	1
19500620	2
19500630	3
19500702	2
19500710	1
19500715	2
19500815	1
19501001	1
19501015	1
19501212	1
19510120	1
19510203	1
19510215	1
19510315	1
19510415	1
19510515	1
19510601	2
19510603	1
19510606	1
19510615	1
19510630	2
19510701	1
19510703	2
19510710	1
19510715	1
19510810	1
19510815	1
19511015	1
19511115	1
19511201	1
19520101	1
19520210	1
19520217	1
19520415	2
19520515	2
19520601	3
19520606	1
19520610	1
19520613	1
19520615	5
19520621	1
19520622	1
19520630	5
19520701	1
19520705	1
19520707	2
19520713	1
19520715	6
19520717	1
19520722	1
19520725	1
19520730	1
19520801	1
19520815	4
19520909	1
19520915	1
19521001	2
19521015	1
19521206	1
19521230	1
19530101	2
19530315	1
19530401	1
19530410	1
19530415	2
19530430	1
19530515	1
19530601	1
19530611	1
19530615	4
19530617	1
19530630	2
19530701	1
19530704	2
19530713	1
19530715	1
19530801	2
19530807	1
19530815	2
19530915	1
19531015	1
19531031	1
19531113	1
19531115	1
19531121	1
19531125	1
19540101	3
19540115	1
19540201	1
19540401	1
19540515	1
19540526	1
19540601	9
19540606	1
19540610	1
19540611	1
19540615	4
19540623	2
19540630	3
19540701	1
19540707	2
19540712	1
19540715	7
19540801	3
19540815	1
19540901	1
19540909	1
19540915	1
19541015	2
19541101	1
19541114	1
19541215	1
19541216	1
19550215	2
19550501	1
19550515	1
19550601	7
19550606	1
19550615	5
19550617	1
19550623	1
19550630	3
19550701	2
19550707	1
19550715	3
19550808	1
19550814	1
19550815	1
19550817	1
19550910	1
19551001	1
19551003	1
19551009	1
19551010	1
19551015	1
19560101	2
19560301	1
19560320	1
19560322	1
19560501	1
19560515	1
19560517	1
19560601	2
19560605	2
19560606	1
19560615	9
19560616	1
19560620	1
19560630	2
19560701	1
19560712	2
19560715	3
19560909	1
19560915	1
19560920	1
19560921	1
19561001	1
19561010	1
19561015	2
19561115	1
19561127	1
19570305	1
19570307	1
19570315	2
19570410	1
19570501	1
19570515	1
19570525	1
19570601	6
19570606	1
19570612	1
19570615	4
19570619	1
19570621	2
19570630	3
19570701	3
19570702	1
19570707	1
19570710	2
19570715	7
19570801	1
19570803	1
19570804	1
19570809	1
19570814	2
19570815	4
19570816	1
19570817	1
19570901	2
19570905	1
19570910	1
19570915	3
19570920	1
19571001	4
19571005	1
19571015	4
19571110	3
19571228	2
19580101	1
19580120	1
19580215	1
19580417	2
19580425	1
19580505	1
19580507	1
19580516	1
19580520	1
19580601	5
19580606	2
19580610	1
19580615	7
19580630	2
19580701	1
19580710	2
19580711	1
19580715	1
19580720	1
19580730	1
19580801	1
19580804	1
19580808	1
19580901	1
19580907	1
19580914	1
19580920	1
19580925	1
19581020	1
19581030	1
19581115	1
19590110	1
19590401	1
19590415	1
19590426	1
19590501	1
19590505	1
19590515	1
19590530	1
19590601	5
19590605	1
19590610	1
19590615	5
19590623	1
19590628	1
19590630	3
19590701	2
19590704	1
19590707	1
19590715	3
19590716	1
19590719	1
19590720	1
19590722	1
19590801	1
19590806	1
19590815	2
19590820	1
19590915	3
19591001	2
19591015	1
19591016	1
19591111	1
19591115	1
19591220	1
19600115	1
19600201	2
19600218	1
19600312	1
19600401	1
19600501	1
19600515	1
19600601	11
19600603	1
19600606	1
19600610	1
19600611	1
19600612	1
19600613	1
19600615	3
19600618	1
19600621	1
19600630	3
19600701	4
19600704	1
19600707	1
19600715	3
19600717	1
19600730	1
19600801	5
19600810	2
19600815	3
19600817	1
19600820	1
19600828	1
19600905	1
19600910	1
19600915	4
19601010	1
19601102	1
19601111	1
19601115	1
19610101	2
19610202	1
19610222	1
19610312	1
19610401	1
19610415	1
19610501	1
19610504	1
19610515	1
19610601	1
19610610	1
19610615	3
19610617	1
19610620	1
19610622	1
19610630	2
19610701	1
19610708	1
19610715	3
19610716	1
19610801	2
19610805	2
19610809	1
19610810	1
19610815	1
19610830	1
19610901	2
19610915	1
19611001	3
19611010	1
19611111	1
19611217	1
19611226	1
19620101	1
19620219	1
19620301	1
19620303	1
19620315	2
19620331	1
19620404	1
19620515	3
19620520	1
19620530	1
19620601	5
19620614	2
19620615	2
19620616	1
19620625	1
19620630	1
19620701	3
19620704	1
19620707	1
19620710	1
19620715	3
19620720	2
19620724	1
19620801	4
19620808	1
19620810	1
19620815	3
19620822	1
19620901	2
19620904	1
19620914	1
19620915	2
19621015	1
19621101	1
19621109	1
19621115	3
19621221	1
19630101	1
19630120	1
19630221	1
19630223	1
19630315	1
19630329	1
19630401	1
19630410	1
19630415	1
19630420	1
19630507	1
19630515	2
19630601	15
19630606	1
19630610	1
19630615	9
19630626	1
19630627	1
19630630	4
19630701	4
19630702	1
19630703	1
19630710	1
19630711	1
19630715	8
19630717	1
19630720	1
19630801	3
19630810	1
19630812	1
19630815	1
19630820	1
19630823	1
19630825	1
19630920	1
19631004	1
19631009	1
19631020	1
19631101	1
19631123	2
19640110	1
19640301	1
19640330	1
19640403	1
19640415	3
19640501	1
19640505	1
19640510	2
19640515	4
19640601	4
19640605	1
19640609	1
19640610	2
19640611	1
19640614	1
19640615	9
19640619	1
19640622	1
19640629	1
19640630	1
19640701	2
19640707	1
19640708	1
19640709	1
19640710	1
19640714	1
19640715	4
19640716	1
19640720	1
19640731	1
19640801	7
19640804	1
19640812	1
19640813	1
19640814	1
19640815	2
19640820	2
19640822	1
19640901	1
19640905	1
19640910	1
19640915	4
19640920	1
19640925	2
19640930	1
19641015	1
19641020	2
19641112	1
19641115	1
19650101	2
19650201	1
19650202	1
19650215	1
19650315	2
19650401	3
19650414	1
19650415	1
19650420	1
19650428	1
19650501	3
19650505	2
19650512	1
19650515	3
19650531	1
19650601	17
19650606	2
19650608	1
19650615	18
19650619	1
19650620	1
19650625	2
19650628	1
19650630	7
19650701	4
19650702	1
19650704	2
19650706	2
19650707	1
19650712	1
19650715	12
19650720	3
19650725	1
19650727	1
19650730	1
19650731	1
19650801	6
19650802	1
19650803	1
19650806	1
19650807	1
19650808	2
19650810	1
19650812	2
19650815	8
19650820	3
19650825	1
19650901	2
19650905	1
19650910	1
19650915	3
19650923	1
19650927	1
19651001	4
19651002	1
19651007	1
19651010	2
19651012	2
19651014	1
19651015	1
19651017	3
19651020	1
19651024	1
19651101	1
19651102	1
19651109	2
19651115	2
19651123	1
19651201	1
19651209	8
19651210	1
19651212	1
19651222	1
19651224	2
19660101	1
19660115	2
19660201	1
19660210	1
19660213	1
19660314	1
19660315	3
19660316	2
19660321	1
19660324	1
19660326	1
19660329	1
19660331	3
19660401	4
19660403	1
19660414	1
19660415	3
19660417	1
19660425	2
19660501	3
19660504	1
19660505	1
19660510	1
19660511	1
19660515	3
19660519	1
19660520	1
19660601	20
19660606	1
19660610	2
19660611	1
19660612	3
19660615	16
19660618	1
19660620	2
19660625	2
19660630	8
19660701	7
19660704	2
19660706	1
19660709	1
19660710	1
19660712	1
19660715	6
19660717	1
19660720	1
19660731	1
19660801	2
19660806	1
19660807	1
19660809	1
19660812	1
19660814	1
19660815	3
19660817	2
19660818	1
19660820	1
19660822	1
19660828	1
19660830	1
19660901	1
19660905	2
19660906	1
19660908	1
19660915	6
19660916	1
19660925	1
19660927	2
19660928	1
19660930	2
19661001	4
19661005	1
19661010	2
19661015	4
19661020	1
19661021	1
19661030	1
19661101	3
19661110	1
19661111	2
19661112	1
19661115	1
19661120	1
19661215	3
19661219	1
19661220	1
19661225	1
19661228	1
19670101	3
19670107	1
19670115	1
19670201	2
19670202	1
19670213	1
19670215	1
19670301	1
19670303	1
19670310	1
19670315	1
19670316	1
