	date	co-mean	o3-mean	so2-mean
1	19951010	0.408696	0.024542	0.357143
2	19950101	0.1375	0.024	4.0
3	19950510	1.665217	0.008542	3.73913
4	19950611	0.333333	0.032583	3.0
5	19951025	0.691667	0.020792	2.045455
6	19950420	1.458333	0.018389	3.545455
7	19950911	0.941667	0.022167	0.333333
8	19950115	0.0	0.02095	0.0
9	19950915	0.221739	0.019167	1.272727
10	19940801	0.158333	0.035375	0.0
11	19950722	0.214286	0.035455	0.0
12	19950611	0.475	0.01375	0.333333
13	19950821	0.720833	0.030083	4.85
14	19950416	0.870833	0.014333	2.375
16	19951118	0.575	0.013208	0.928571
17	19950610	0.343478	0.016917	5.652174
18	19950514	0.05	0.016625	5.15
19	19950204	0.233333	0.016458	1.625
22	19950628	1.1875	0.013125	3.5
23	19950314	0.441667	0.018208	0.0
24	19950306	0.141667	0.036208	7.7875
25	19950506	0.116667	0.021667	1.454545
26	19950730	0.225	0.032167	0.35
27	19950822	0.770833	0.010708	3.217391
28	19950207	1.8	0.01675	3.35
29	19950909	0.425	0.034208	4.625
30	19950328	0.004167	0.019458	9.291667
31	19950404	0.214458	0.044625	0.5875
32	19950228	0.933333	0.029458	9.45
34	19950912	0.468182	0.042792	1.633333
35	19950824	0.236364	0.025958	1.0
36	19950130	0.63913	0.026667	3.136364
37	19950829	0.558333	0.014583	1.1875
38	19950121	0.43913	0.02475	2.485714
39	19951022	0.1	0.019875	11.35
40	19950916	0.333333	0.032583	3.0
41	19941231	0.341667	0.016167	2.2375
42	19950423	0.825	0.012875	6.0125
43	19950222	0.333333	0.032583	3.0
45	19951116	0.483333	0.022833	17.55
46	19950202	0.636842	0.048208	3.042857
47	19941209	0.220833	0.041542	0.043478
48	19950625	0.454167	0.026708	0.625
50	19950825	0.183333	0.024667	6.9625
51	19950109	0.325	0.03675	2.3875
52	19950507	0.458333	0.013563	1.0
53	19950913	0.441667	0.02175	6.8875
56	19950722	0.016667	0.020056	0.6
57	19950322	0.221739	0.019167	1.272727
58	19950222	0.7125	0.021458	3.304348
59	19950312	0.420833	0.018208	0.0
60	19950603	0.258333	0.01875	1.0
62	19950325	0.25	0.015583	0.4
63	19950804	0.575	0.01225	6.5
67	19950312	0.0	0.01475	0.8625
68	19950720	0.383333	0.044375	7.458333
69	19950415	0.679167	0.026	14.175
71	19950131	0.441667	0.0085	3.3875
72	19950914	0.3	0.019833	2.5
74	19950716	0.573913	0.04625	1.414286
75	19951003	1.104167	0.037042	1.708333
76	19951027	0.758333	0.037375	1.3875
77	19950611	0.420833	0.018	0.2
79	19950823	0.0125	0.03975	5.128571
80	19950317	0.333333	0.036917	0.9
81	19950630	0.172727	0.034792	3.565217
82	19950929	0.352174	0.02075	0.608696
83	19950929	0.925	0.034792	0.375
85	19950924	0.470833	0.026083	5.357143
86	19950724	0.333333	0.013042	2.227273
87	19950817	0.370833	0.022042	6.425
88	19950315	0.416667	0.015333	1.375
89	19950619	0.4	0.021833	0.0
90	19950403	0.16087	0.016375	6.869565
91	19950618	1.05	0.017833	1.304348
92	19950420	0.2125	0.015458	1.466667
93	19950914	0.3	0.008542	2.0
94	19951112	0.941667	0.022167	0.333333
95	19951029	0.5	0.019417	1.0
96	19950425	0.0	0.021625	0.15
97	19950102	0.4525	0.002	2.65
98	19950805	0.495833	0.0245	1.375
99	19950826	0.2125	0.021125	0.8125
100	19950624	0.35	0.020583	2.208333
101	19951111	0.025	0.030917	3.25
102	19951001	0.33913	0.024042	0.928571
103	19950509	0.041667	0.040417	6.8125
104	19950306	0.891667	0.031833	1.782609
105	19950611	0.091304	0.028208	2.181818
106	19950707	0.316667	0.03475	5.291667
107	19950728	0.3	0.038708	2.525
108	19950830	0.16087	0.016375	6.869565
109	19950210	0.333333	0.032583	3.0
110	19950904	0.554167	0.031667	2.0375
111	19951002	0.041667	0.033958	0.541667
112	19950925	0.245833	0.0335	0.228571
113	19950206	0.366667	0.031167	1.5
114	19950826	0.165217	0.015875	2.1
115	19950223	1.016667	0.0015	14.416667
116	19950815	0.516667	0.009125	0.208333
117	19950923	0.245833	0.0335	0.228571
118	19950117	0.329167	0.031167	1.3875
119	19951007	0.316667	0.037417	14.05
120	19950728	0.575	0.030083	27.0375
121	19950108	0.466667	0.034292	0.6875
122	19950314	0.179167	0.031542	4.416667
123	19950918	0.875	0.049708	4.975
125	19951002	0.345833	0.035208	6.9875
126	19950203	0.441667	0.018208	0.0
129	19950204	0.222727	0.035958	1.357143
130	19950524	0.334783	0.035583	2.985714
131	19950216	0.15625	0.021462	0.575
132	19950920	0.295833	0.028458	0.636364
133	19950925	0.670833	0.02025	7.2125
136	19950513	0.15	0.025042	0.0
137	19950603	0.483333	0.031625	32.55
138	19950401	0.283333	0.02425	0.086957
139	19950124	0.058333	0.039083	0.257143
140	19950125	0.504348	0.005542	2.585714
141	19950923	0.720833	0.029875	2.15
142	19951031	0.091304	0.028208	2.181818
143	19951101	0.4	0.017208	0.833333
144	19951031	0.404167	0.038917	3.9625
145	19950317	0.208696	0.039667	0.0
146	19950920	0.0375	0.025875	0.0
148	19950202	0.641667	0.024583	0.8875
149	19950107	0.191667	0.036625	1.130435
150	19950912	0.275	0.0195	0.6
151	19950227	0.358333	0.01325	5.666667
152	19950131	1.0625	0.016042	1.521739
154	19950702	0.436842	0.022	1.0
155	19950503	0.220833	0.032792	1.275
156	19950814	0.145833	0.029333	0.085714
157	19950715	0.333333	0.032583	3.0
158	19950611	0.0125	0.03975	5.128571
159	19950723	0.36087	0.027667	1.826087
160	19950109	0.504167	0.02075	8.130435
161	19950607	0.691667	0.017	2.457143
162	19950325	0.791667	0.039	1.825
163	19950325	0.070833	0.018	2.983333
164	19950912	0.2	0.028417	1.166667
165	19950812	0.7375	0.012833	2.5
166	19950827	0.333333	0.028458	0.304348
167	19950410	0.334783	0.042458	0.090909
168	19950819	0.383333	0.032125	2.25
169	19950215	0.920833	0.017958	5.8
170	19950519	0.970833	0.037	2.913043
172	19950122	0.333333	0.032583	3.0
174	19950806	0.16087	0.016375	6.869565
175	19950802	0.0	0.035125	0.716667
176	19950306	0.214286	0.035364	0.047619
178	19950922	0.458333	0.014208	1.083333
179	19951111	0.343478	0.029917	1.863636
180	19950212	0.120833	0.033583	0.208333
181	19950625	0.054167	0.014417	1.1125
182	19950122	0.856522	0.00775	0.73913
183	19950617	0.126087	0.019125	5.214286
184	19950831	0.358333	0.01325	5.666667
185	19951104	0.416667	0.018125	0.8
186	19950319	0.63913	0.026667	3.136364
187	19950103	0.582609	0.010875	1.228571
188	19930101	0.543478	0.027417	1.928571
189	19950826	0.25	0.017	0.0
190	19951117	1.05	0.017833	1.304348
191	19950623	0.429167	0.010333	5.708333
192	19950820	0.079167	0.032167	5.3875
194	19950614	0.3625	0.008	2.791667
195	19950506	0.579167	0.01375	1.014286
196	19951110	0.541667	0.01675	4.083333
197	19950313	0.333333	0.032583	3.0
198	19950309	0.491304	0.031333	3.217391
199	19950609	0.5	0.009625	0.318182
200	19951118	0.333333	0.032583	3.0
201	19950208	0.5875	0.028375	4.475
202	19950310	0.345833	0.016292	3.541667
203	19950822	0.441667	0.018208	0.0
204	19950220	0.333333	0.032583	3.0
205	19950913	1.091304	0.018042	5.1
206	19950515	1.05	0.04375	0.325
207	19950601	0.308333	0.007667	0.0
209	19951016	0.383333	0.020458	15.05
210	19950315	0.515	0.027083	2.4
211	19950314	0.333333	0.032583	3.0
212	19950131	0.316667	0.0325	0.166667
213	19950731	0.691304	0.010833	0.869565
214	19950316	0.126087	0.019125	5.214286
215	19950212	0.483333	0.015083	14.208333
216	19950720	0.283333	0.027542	1.485714
217	19950806	0.575	0.025667	4.8625
218	19950512	0.6125	0.052417	7.583333
219	19950210	0.783333	0.001	2.916667
220	19950223	0.3625	0.013833	0.0
221	19950318	0.16087	0.016375	6.869565
222	19950112	1.070833	0.017	0.565217
223	19950112	0.3625	0.013833	0.0
224	19950223	0.333333	0.032583	3.0
225	19950117	0.333333	0.032583	3.0
227	19950330	0.070833	0.018	2.983333
228	19950410	0.013043	0.033583	0.956522
