airport	count
University of Iowa Hospitals & Clinic Heliport	18
Columbia St Mary's Heliport	58
Mason General Hospital Heliport	16
Boone Hospital Center Heliport	54
1001 Fourth Avenue Plaza Heliport	450
Brunswick Executive Airport	11
St. Luke's Hospital Heliport	18
City Hall Complex Heliport	291
Piac Heliport	14
Jobe Skis Plant 1 Heliport	40
Renton Municipal Airport	53
St Johns Hospital Heliport	19
Wolomolopoag STOLport	13
Merritt Field	1
Tanner Medical Center Heliport	9
Willapa Harbor Heliport	5
Lucerne Medical Center Heliport	137
White Oak Stand Airport	7
Landmark Plaza Heliport	9
Cmmc Air Ambulance Landing Site Heliport	23
Pine Ridge Helistop	2
Flagler Hospital Heliport	31
Jerry Douglass Heliport	5
Fontana Police Heliport	31
P & A Deptford Heliport	10
Lebanon Hospital Heliport	10
Flying Ridge Airstrip	21
Ernest A. Love Field	27
Kimshan Ranch Airport	2
Apex Airpark	14
Cordova Municipal Airport	2
Folsom Airport	4
Rockingham Memorial Hospital Heliport	7
Pearson Field	88
North Haven Heliport	3
Battle Creek Health System Helistop	12
Jacksonville Pre-Trial Detention Facility Heliport	106
St Luke's Boise Medical Center Heliport	62
Kenner Farm Airport	2
Med West-Hoover Heliport	5
Adams County Hospital Heliport	1
Manatee Memorial Hospital Heliport	33
Long Airport	3
Elk Grove Airport	14
Flying Dollar Ranch Airport	7
Portland Heliport	11
Mc Kennan Hospital Heliport	20
Valley Medical Center Heliport	86
Providence Medical Center Heliport	25
Ag-Alley Airport	3
Franconia Airport	5
Christus Spohn Hospital Memorial Heliport	37
Willamette Falls Community Hospital Heliport	19
Sfs Airpark	7
St Louise Regional Hospital Heliport	42
Barnes Jewish Hospital Heliport	86
Norfolk International Airport	14
Wayne Memorial Hospital Inc. Heliport	6
Natividad Medical Center Heliport	22
Stevens Memorial Hospital Heliport	93
Darr Field	5
St Joseph Medical Center Heliport	107
Wiley's Seaplane Base	28
Providence Hospital Heliport	129
Manchester Laboratory Heliport	86
Bert's Airport	2
KTSP Heliport	371
Douglas County Hospital Heliport	16
Thorn Airport	5
Capital Center Heliport	9
Cherry Hill Inn Heliport	10
Lodi Airport	2
Siletz Airport	1
Ogden Hinckley Airport	26
Seaside Heliport	2
Good Samaritan Hospital Heliport	84
New London Airport	1
Olympic Memorial Hospital Heliport	29
BBVA Bancomer Tower Helipad	8
Quebec/Sûreté Heliport	153
Goering Ranches Airport	5
Flying 'O' Ranch Heliport	21
Chapin Field	4
Zangger Vintage Airpark	6
Westmoreland Hospital Heliport	10
Quesnel Airport	5
San Joaquin Community Hospital Heliport	63
Charlton Memorial Hospital Heliport	9
Nrh Fire Department Heliport	3
Douglas Municipal Airport	3
Eagles Landing Heliport	3
1st District Police Station Heliport	12
Hca New Port Richey Hospital Heliport	26
Woodland State Airport	11
Fall City Airport	16
Pangborn Memorial Airport	1
St-Jérôme Airport	22
Winnipeg (City of Winnipeg) Heliport	103
Port Orchard Airport	2
St Joseph Hospital Heliport	221
Leo Creek Airport	1
Johnson Wax Heliport	16
St Francis Hospital Heliport	111
Vancouver (General Hospital) Heliport	67
Stark Heliport	15
Utah Valley Regional Medical Center Heliport	19
Shasta Regional Medical Center Heliport	50
Ocean Shores Municipal Airport	5
Pilot Butte Airport	31
Hintzman Private Airport	2
Lake Country Regional Airport	1
Jackson County Reynolds Field	1
Central Washington Hospital Heliport	41
Yuma MCAS/Yuma International Airport	3
Cyber Density Balloon Spot Balloonport	8
Garberville Airport	3
Fredericton (Forestry Centre) Heliport	33
P W Johnson Memorial Airport	4
Cosmodyne Heliport	20
